16484026,16491182
16491182,16498342
16498342,16505506
16505506,16512669
16512669,16519833
16519833,16526998
16526998,16534158
16534158,16541307
16541307,16548446
16548446,16555610
16555610,16562775
16562775,16569938
16569938,16577092
16577092,16584251
16584251,16591387
16591387,16598551
16598551,16605709
16605709,16612873
16612873,16620030
16620030,16627179
16627179,16634332
16634332,16641482
16641482,16648623
16648623,16655708
16655708,16662828
16662828,16669948
16669948,16677068
16677068,16684174
16684174,16691287
16691287,16698382
