slot,ip,header_ua,payload_ua,slot_boundary,header_req,payload_req,block_hash,proposer_pubkey
6294237,138.197.206.22,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 16:47:47.000000,2023-04-24 16:47:47.586233,2023-04-24 16:47:48.074816,0xdd5cf994eda27199aaa853856d5288bf08e56eb0bf53d48a64b3caa4188a2e3e,0x8d986d2d5c9b401280bee933ee98e2de42ff784e7773b390658f56e61cc121581ee0073f888a8153e5176bf723b6cf4d
6294238,3.253.96.21,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 16:47:59.000000,2023-04-24 16:47:59.403094,2023-04-24 16:47:59.904876,0xa61d2704091bc308d82f9aced367174587e3c11d738ecd4e59f1779ac355bdcc,0xa174762a62bfcd24e5a1f2329109e0af0f125350efff85f4a937fd512303939fbea1e4b653892c49063b65bc061b02ed
6294240,13.51.48.23,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 16:48:23.000000,2023-04-24 16:48:24.475722,2023-04-24 16:48:25.530411,0xfabf066a2bb101b055f394156f0e6458f50ce7f6d32a0b2f0da91e154294a1e9,0x996e8f15feeae4d17a6332a5b16366774789f90a899bd747d9b9edd997a586b1b08bbd8e4c7bb37286f2294599c05a62
6294243,49.12.165.146,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 16:48:59.000000,2023-04-24 16:48:59.480091,2023-04-24 16:49:00.008591,0xeb9830d77f1a90f3e9fa53b33fa75b3fa492bfeb5ee2593742ca28afcdf98db3,0x8b754bc4803bf91b31e20eb1c24ad54068e17bc940792756d41d1d4f9d0832eb8cbf9dc5d0501fb229245e3b2e8f88c1
6294244,35.74.27.126,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 16:49:11.000000,2023-04-24 16:49:11.277943,2023-04-24 16:49:12.107443,0x8f539ff2bab9aa516bf8cb91db56f5807ed0c18f03c90a84deb4d7e7e55188c7,0xa35c3d0faa62e088ab11ce0b5085ea22e35f349e00832af552f845a82d14676d6516b93802bc9b623cfe64a99f01d7d4
6294245,18.133.183.169,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-24 16:49:23.000000,2023-04-24 16:49:23.125259,2023-04-24 16:49:23.449210,0x4459c6acde73cf3e40e62b06e955e85f758f284af7e9207bc902005f891902ba,0x924385c20394106152a45e2dd61c032b5ac2e7329cb48bbc18badf1915d8373652c802fbe3b17fa3510ebdd77cca6246
6294247,20.78.251.137,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 16:49:47.000000,2023-04-24 16:49:47.393237,2023-04-24 16:49:47.864671,0x56be80c466861ce39f3bfc11ece3eb7917430125d55a646b066f9f2f8633ec94,0x92db893470e9f415491ab72b33dc1a07f0adc639570b91402ca86993851810e356e89ec930d95289302ba83a39e8850c
6294248,80.64.208.131,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 16:49:59.000000,2023-04-24 16:49:59.419363,2023-04-24 16:49:59.830717,0x95399c23f09e1c5a9ff72dd902aff935168f8cff44406159889c62bbcaff4f37,0xb28bb4facaecfd0bcd37a380f1dcbcab3391868eeed13ee2f9efade267206e69e93428bd4540dfac5bbef6936ac0284c
6294249,185.158.17.115,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-24 16:50:11.000000,2023-04-24 16:50:11.143866,2023-04-24 16:50:11.893041,0xbb89d83baa86842483573a624298d42fec863fb0e66a33d698d91838df0aaa8f,0x904e3d6927ccb309b1f8a67509e406bc3d257d685d5b9e3678f6ebb9580dcf508bbfb92ae9e1e4d8c2f7a080e96ffa0e
6294258,99.242.209.170,mev-boost/v1.5.1-alpha1 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.1-alpha1 Lighthouse/v4.1.0-693886b,2023-04-24 16:51:59.000000,2023-04-24 16:51:59.947644,2023-04-24 16:52:00.399495,0xc67c98535d0c9395981f6786305845c7d9c49b181c7df2af45f3da9395bf695b,0x9982e5c9ff8935ad9911a350a779d3d087852ab9928327ddb1f866ab57abb9e7a73c288ed45ad3490812cbedb099c577
6294260,20.106.15.238,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-24 16:52:23.000000,2023-04-24 16:52:23.154138,2023-04-24 16:52:23.557728,0xf58318fa183769d0d5f5e4a433a2223168877752f498e45624ce78e93165f61f,0xaf616348dbb1cbf5d688d2910b797d79579e1722f6e8c7d9185ac71bdf633a9db0ece5586fcadfe0db3b80a0146c89d5
6294261,85.221.224.185,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 16:52:35.000000,2023-04-24 16:52:35.281990,2023-04-24 16:52:36.271694,0xdc88b67410d03694aa67efbd7cb637c8173ebaef8f17af1e9898c3469d874ce4,0x9355a89383a49c912747dcb07590b964e18c11f3d00bc5eeea81f03d3d1628174dcd2bae97196faf537b72a462533ce9
6294263,162.19.61.174,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 16:52:59.000000,2023-04-24 16:52:59.274912,2023-04-24 16:52:59.755237,0xfb24a217991474711b0bcc697ff3605c865eaa03160c2059640d0127c71cda56,0x8b102ea4caa3874fb82263d09f5f1304609c83d3910ab74082215f1f0fd904f68648efb16718a57b17a720702b572877
6294267,34.249.7.41,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,2023-04-24 16:53:47.000000,2023-04-24 16:53:47.371796,2023-04-24 16:53:47.617796,0x99476b94d6be7bde36d57a63bac8b4e5c6f62a9ca4d0b97516e2c987fb03e763,0x869d6f7ef265b625b98fef2ade58b3c9dd5761bca778dba69766c239054d8a50a704ac22c175a178f5215489cd6b7997
6294270,34.243.117.92,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 16:54:23.000000,2023-04-24 16:54:23.277247,2023-04-24 16:54:24.277666,0x8f136d763cc794a5929828e9d98a32e963cd0eb6d461013f96cee3ca4780b24e,0xa1c130066c0bbba4ac8c8313bf66c527eadb20a40c5ce19e19370b96f2550acb23775f1f527bd9c49ccd0c8906c7a1de
6294272,13.51.48.23,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 16:54:47.000000,2023-04-24 16:54:48.138874,2023-04-24 16:54:49.213091,0xafae0270cf9aba3753ae7460f2e910d809d776d43b298fc223e8398ca5b719ef,0x860b44882534444fc65afc05a7e84fcaca1f86747bbe04fedbe8e62fe53f1ed75347e8f2a6a620d57e87a4cd9b64074d
6294278,185.158.17.115,mev-boost/v1.5.0 nim-presto/0.0.3 (amd64/linux),mev-boost/v1.5.0 nim-presto/0.0.3 (amd64/linux),2023-04-24 16:55:59.000000,2023-04-24 16:55:59.033216,2023-04-24 16:55:59.626060,0x10a8e684e240c658f011d2e4c3e40e5a0418cd821794db6aba00f5d60385748f,0xa57aa714c96ff810f266e7730e560c8f667a17b6e45152b46d3fbfae2c1a6a597099496c10bad2e5fc2a6028e36c9912
6294280,65.21.230.240,mev-boost/v1.5.0 node-fetch/1.0 (+https://github.com/bitinn/node-fetch),mev-boost/v1.5.0 node-fetch/1.0 (+https://github.com/bitinn/node-fetch),2023-04-24 16:56:23.000000,2023-04-24 16:56:23.598190,2023-04-24 16:56:24.234091,0xc2be2b70dda682d4a72980f92dbbd3bb0aa10273b65f63cf34712081bb66b2c2,0x99d0ec424c5a4f39379cb9483c1c15616ef5749cefc51911a1e0ee396c7ebaf292fae6796e9e923b187525bc838da071
6294288,13.114.44.117,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 16:57:59.000000,2023-04-24 16:57:59.275700,2023-04-24 16:58:00.432458,0xc5b646c836c6b24497d55cfecbc450a464d42d28b40905103afbd1d00122ca53,0xace1458b67def3e69b819ce37592fd7e30e251c7e2bc52303cffcfa825e6ab5fe757d710c9e09c59e68055d05d69a116
6294289,54.217.185.54,Go-http-client/1.1,Go-http-client/1.1,2023-04-24 16:58:11.000000,2023-04-24 16:58:08.432750,2023-04-24 16:58:11.022855,0xf1d7609059991c241234e7a5507e7d2210037ebc055c968c8db00104bddf8a4c,0xb058f57a3c0d3fd2d1516e011353ca250d871d3d8466bf828431472548df1d2fbd344405f027f347160e07d98630bc56
6294305,46.142.107.85,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 17:01:23.000000,2023-04-24 17:01:23.255088,2023-04-24 17:01:23.540368,0x642651899865d29caa12a9b434be7099ea069c75cdc6195ff86f99f0a781c619,0xb496fda08bb0bc5cd49710b343ab432e498479118537332e3eb3d202f8da38611877135ef05a87e74df018a66d545fcf
6294306,34.138.250.163,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,2023-04-24 17:01:35.000000,2023-04-24 17:01:35.155998,2023-04-24 17:01:35.442189,0x3c79fca1b5baf3103f27a20e57ab59ee6556de0f7097b41773343059adf05d81,0xa2f8cc3abb11aef9cb44387ac7ea35eaa9ff823d2533314171a1753028606849b005458999341e23f2f1fcd928f99111
6294309,54.229.41.59,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 17:02:11.000000,2023-04-24 17:02:11.270404,2023-04-24 17:02:11.506033,0x873ce2fff4a3ea6c396e91ad54ee807d57400d8e5305050fab57855031d5e58a,0xa16604448169946802a989866c9503b87ad86dfa84e22da6d48af6613f5284c04b24255528ce89bbdbda238ffac874e0
6294317,3.15.143.13,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 17:03:47.000000,2023-04-24 17:03:47.319138,2023-04-24 17:03:47.590197,0xcaf575f3dbd656ae63eb8f203328cafd52c133cae6073d6ad0f8626342184c8c,0x87036f3b52bba9b7128fa1ae41ddf64d90a9d4fb2d45110f95ca3388e1be0b9693ed187023ecd414960c02f085eec0ef
6294323,35.185.228.189,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 17:04:59.000000,2023-04-24 17:04:59.299311,2023-04-24 17:04:59.819941,0x080b68512f7986b185a6a4f5106b028f480eae2b42709eb02e8fe34e149b1e6a,0xb4b555ff24123dcf54448a1ba8883dd71df6337c78b1937caf974b392bc9165c54902bc53df9f7050c5ba6bd7bf5b711
