received_at|slot|value|simulation_duration|total_duration
2023-03-1318:12:59.73781|5992263|75397692596681056|115505|0
2023-03-1318:13:00.102866|5992263|75397692596681056|97448|122796
2023-03-1318:12:59.97297|5992263|75397692596681056|90271|113476
2023-03-1318:12:59.918367|5992263|75397692596681056|87766|194779
2023-03-1318:12:59.794241|5992263|75397692596681056|114408|222265
2023-03-1318:12:59.87351|5992263|75397692596681056|127916|151875
2023-03-1318:12:59.965738|5992263|75397692596681056|113779|257518
2023-03-1318:12:59.787048|5992263|75397692596681056|79503|245612
2023-03-1318:12:59.839587|5992263|75397692596681056|91175|219042
2023-03-1318:13:00.052848|5992263|75397692596681056|94571|110825
2023-03-1318:12:59.935606|5992263|75397692596681056|147365|353322
2023-03-1318:12:59.885885|5992263|75397692596681056|125617|147517
2023-03-1318:13:12.974157|5992264|102628734152150481|86177|405251
2023-03-1318:13:24.11393|5992265|60679182907105671|85613|183722
2023-03-1318:13:24.107259|5992265|60679182907105671|124164|217123
2023-03-1318:13:24.081475|5992265|60679182907105671|88524|184000
2023-03-1318:13:47.378906|5992267|48322167123980365|132049|237481
2023-03-1318:14:12.282864|5992269|84226835999777369|128499|151456
2023-03-1318:15:11.782374|5992274|98518352344154093|154526|213698
2023-03-1318:15:11.788578|5992274|98518352344154093|158794|204663
2023-03-1318:15:24.358953|5992275|256791586046371676|162019|214023
2023-03-1318:15:48.399379|5992277|81016852560186159|158898|569253
2023-03-1318:15:48.339528|5992277|81016852560186159|127173|480222
2023-03-1318:16:01.979398|5992278|593095561381388400|89054|125813
2023-03-1318:16:23.88607|5992280|104219882548063481|208104|933780
2023-03-1318:16:35.1765|5992281|74794510804999351|133402|279762
2023-03-1317:58:24.08468|5992190|111523710686298996|73621|91430
2023-03-1318:16:58.06678|5992283|124045154297576386|111155|346102
2023-03-1317:58:35.500712|5992191|36008693504717528|96741|116022
2023-03-1318:17:37.258144|5992286|71542683568400524|138220|257435
2023-03-1318:17:11.95969|5992284|126256346949494447|92576|213388
2023-03-1318:17:22.641413|5992285|84995653023376793|170605|329631
2023-03-1318:17:48.756526|5992287|156184451148384662|103298|138265
2023-03-1318:18:01.39719|5992288|127461056481818489|185439|254719
2023-03-1318:19:47.341001|5992297|59425699432838588|123960|231418
2023-03-1318:18:48.543378|5992292|185923040633081580|129425|153199
2023-03-1318:20:12.409113|5992299|202039225468366226|182789|503025
2023-03-1318:19:11.39979|5992294|60831620788808234|121523|274267
2023-03-1318:20:48.25326|5992302|82755375893358656|235127|663846
2023-03-1318:20:35.84606|5992301|114464659279578525|199522|412725
2023-03-1318:20:58.643081|5992303|112085395117011995|136042|165908
2023-03-1318:21:36.069029|5992306|175188647864032945|181207|235364
2023-03-1318:22:59.995028|5992313|57469504815188986|128711|148135
2023-03-1318:22:35.747406|5992311|243633279303171131|84354|185568
2023-03-1318:23:00.094511|5992313|57469504815188986|108811|134461
2023-03-1318:23:08.615949|5992314|41177979315548133|92202|516774
2023-03-1318:23:23.976091|5992315|64738926700030350|157966|265949
2023-03-1318:23:59.963507|5992318|249595905527303988|111182|238520
2023-03-1318:23:47.805282|5992317|27667701707011115|102979|204350
2023-03-1318:24:47.637833|5992322|72478486388534912|99115|362286
2023-03-1318:24:00.052075|5992318|249595905527303988|128248|248232
2023-03-1318:24:47.782006|5992322|72478486388534912|130020|456881
2023-03-1318:24:47.70442|5992322|72478486388534912|122616|260777
2023-03-1318:24:47.871963|5992322|72478486388534912|126877|483269
2023-03-1318:24:47.535739|5992322|72478486388534912|130093|245774
2023-03-1318:24:47.444457|5992322|72478486388534912|165715|360764
2023-03-1318:24:59.19729|5992323|71788143255126225|138325|261276
2023-03-1318:24:47.525021|5992322|72478486388534912|125442|455018
2023-03-1318:24:47.534897|5992322|72478486388534912|102490|211522
2023-03-1318:24:47.785605|5992322|72478486388534912|191921|306911
2023-03-1318:24:47.614281|5992322|72478486388534912|116847|231384
2023-03-1318:24:47.888144|5992322|72478486388534912|129527|222842
