optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration
f|94398|2270|24451|26422|147543
f|126768|2300|24033|14463|167566
t|158716|2350|13|9505|170585
f|129592|2379|25541|9554|167067
t|164589|2547|12|10112|177261
f|99261|2239|27944|11013|140458
f|130117|2200|24349|89324|245992
f|128928|2233|28450|11222|170834
t|159903|2735|18|73497|236154
f|108096|2823|29294|8483|148697
t|151086|2159|8|84467|237722
t|162570|60749|12|12418|235750
f|131834|2355|32770|64107|231067
t|206328|3523|7|98578|308437
f|96643|2153|30907|8221|137925
f|151599|2385|32802|11189|197976
t|159825|2108|13|9754|171701
f|132120|2232|34033|11494|179880
t|168317|2307|2|11227|181854
f|148732|2793|40123|11346|202996
t|150405|2176|14|10205|162802
f|130843|74051|195485|13397|413777
f|133213|2468|60861|71964|268507
f|131142|2288|37233|12027|182692
t|164141|2343|11|9810|176306
f|100639|2469|40247|10686|154042
t|153805|3614|3|84269|241692
f|203135|100159|96679|700668|1100642
f|405597|486705|297140|1201814|2391258
f|400356|11746|192111|894792|1499007
f|388054|207235|393649|1910350|2899290
f|702265|507873|600376|395742|2206258
f|905834|591078|309071|495600|2301585
f|701066|609009|395806|308996|2014879
f|303388|604787|599569|595527|2103273
f|502144|297014|192510|412303|1403972
f|210614|197029|189588|109131|706363
t|715|2746|13|4162|7638
t|154375|2162|2|9251|165792
f|201722|208430|290130|205882|906166
f|498084|296237|96688|511453|1402465
f|398095|96013|94460|1399608|1988178
t|216679|5188|8|12237|234113
t|161308|2354|12|178259|341934
f|207963|2501|41004|54303|305773
t|115001|2621|4|10336|127964
t|160336|2182|13|10251|172783
f|96095|2129|45692|11696|155614
t|162743|2290|17|10161|175211
t|159626|3320|17|26129|189093
f|203043|203533|288654|706482|1401713
t|296902|197900|81|1208658|1703542
f|474866|99320|290648|1215260|2080095
f|395424|209342|197608|407262|1209637
f|103850|2132|18451|10950|135385
t|184537|2333|11|9053|195936
t|146077|2307|20|8850|157256
t|157560|2404|20|9618|169603
f|98443|2182|20488|9953|131068
t|150496|2406|12|9447|162363
t|156781|2187|3|9397|168370
f|120656|2538|31186|9861|164243
t|151888|2418|15|9219|163543
t|157236|2258|10|10188|169693
f|106895|2217|31841|8003|148957
t|158303|2340|13|13951|174609
t|166240|3568|7|17581|187398
f|101308|3741|67759|14417|187227
f|114310|285487|102399|1298563|1800762
f|403000|190018|206134|395814|1194969
f|107360|2938|49229|8056|167584
t|163560|2324|13|37655|203553
f|95225|2355|48842|16556|162980
t|174482|2941|6|18664|196094
f|129650|2371|53408|11828|197258
t|172208|2385|10|10189|184793
f|110719|2268|49420|25143|187552
f|117324|2359|50291|40377|210353
t|156188|3463|16|46306|205974
f|109721|2263|56202|13282|181470
f|128234|5840|56939|12620|203635
t|192310|4057|7|93325|289700
f|109852|2381|54190|11076|177501
f|126523|2421|54518|146475|329938
f|299627|89432|100341|1410651|1900053
f|207114|289023|198302|807492|1501932
f|493827|202105|104973|308282|1109187
t|776|2932|7|4883|8600
t|955|2965|7|5034|8962
f|977|2966|11967|89118|105030
f|7007|5161|55239|9114|76523
f|4924|4604|53129|38911|101570
t|13628|2563|10|9488|25691
f|16416|2669|51317|6386|76790
t|1002|4786|5|5269|11064
t|1002|2769|15|4410|8197
f|6334|3354|10522|4955|25167
t|1126|2951|13|4792|8884
t|1120|3156|35|4326|8639
t|1213|2772|13|5462|9462
f|11798|2882|15235|4930|34846
t|1605|2774|30|5290|9701
f|30533|3172|10150|4629|48486
t|2011|2409|12|4599|9031
f|8038|2687|15603|5548|31878
t|2047|2980|10|5090|10129
t|4674|2872|10|5936|13493
f|9393|2695|18108|4266|34463
f|1555|3515|14653|4646|24371
t|4823|2789|13|4904|12531
t|4429|2816|13|4934|12194
f|9115|3722|17217|4770|34825
t|5120|2649|12|5515|13298
t|3881|2644|13|4949|11488
f|9678|2728|19387|5310|37105
f|7410|3312|19207|5369|35299
t|4888|2585|16|4788|12279
t|5832|3099|12|5934|14878
f|10571|2757|20000|4241|37571
t|5583|2712|4|5889|14190
t|5486|2749|14|5611|13861
f|11028|2394|20735|6053|40212
f|66146|2567|20468|5561|94743
t|6760|2903|14|5824|15502
t|6508|3329|16|9061|18916
f|10563|2613|55465|53109|121751
f|104123|2848|93802|206870|407644
f|104263|95856|100738|108407|409266
f|6174|3592|190369|12519|212655
f|11848|3843|23912|9686|49291
t|6379|2630|10|6030|15051
f|10416|2647|22740|5670|41474
t|6069|2606|12|6455|15143
f|51348|2569|22139|5818|81875
t|7860|2955|15|6020|16853
f|10031|2583|28898|5295|46809
t|7415|2818|11|5421|15666
t|7264|3512|19|7565|18362
f|9140|2609|32322|6758|50830
f|2795|2483|33205|5790|44274
t|7295|2634|24|6172|16126
t|7627|2659|11|7049|17347
f|10785|2387|27781|5380|46334
t|12301|2668|8|6709|21689
f|11825|2583|31527|7266|53203
f|10133|2703|31105|11388|55330
t|15483|3872|4|9461|28821
t|12364|3465|10|7453|23293
f|13242|2644|33211|6514|55612
f|4776|2834|45661|6609|59882
t|13463|2841|12|6890|23208
t|15643|4118|10|56829|76602
f|10045|20146|97451|10483|138126
f|155398|6016|35341|6022|202779
f|3652|2666|40153|6221|52693
t|16573|92073|6|196801|305454
f|3867|8460|188877|105740|306944
f|3672|4166|92546|9991|110377
f|6602|5583|53349|8380|73915
f|3605|34903|58135|7380|104025
t|12255|3313|15|6025|21609
t|11907|2396|4|6558|20867
f|5489|2573|37070|10519|55652
f|18868|3607|46002|7522|76001
f|39492|2806|38291|6932|87521
t|13365|3056|13|15329|31765
f|52613|2678|34101|7068|96461
f|107930|2805|34676|11712|157125
f|24913|2033|33990|6440|67377
t|26439|4163|3|6482|37088
f|4310|4483|38731|61437|108963
f|17128|4051|35484|292497|349162
f|3738|105956|89816|10324|209836
t|597|2472|13|5070|8154
f|773|2838|8657|4152|16423
t|779|2488|10|4970|8248
t|784|2995|12|4534|8326
f|2193|2431|13832|5035|23492
f|82853|51871|48267|9421|192414
f|85179|2549|34201|6705|128635
f|106986|2038|29239|6919|145183
t|104152|2783|10|7027|113974
f|141283|2728|29824|6455|180292
f|106930|3227|29783|5689|145630
f|83862|284895|44764|11289|424811
f|83774|2791|27320|7358|121245
t|111230|2960|21|6814|121026
f|110855|2461|36138|6972|156427
f|83388|3049|29075|50165|165678
f|99496|3193|28757|68804|200252
f|104901|2501|31137|8402|146943
f|100945|2765|30092|7636|141439
t|112142|2744|4|7222|122113
f|606|2839|11230|3939|18616
t|457|2281|9|4678|7427
f|600|3062|9388|4162|17214
t|819|2326|10|4336|7493
f|813|2475|10470|4089|17849
t|767|2427|8|4842|8046
t|886|2773|12|5209|8883
t|808|2928|11|4590|8340
f|866|2317|11164|4255|18603
t|1520|4908|12|9632|16074
f|821|2630|10786|4310|18549
t|565|2706|12|4667|7951
t|763|2628|10|4216|7618
f|10922|2575|16242|3519|33260
t|925|2641|3|5960|9530
t|110077|239300|4|57731|407115
f|83741|2697|77951|9518|173909
t|1317|2830|8|5879|10035
f|12145|2642|16938|4466|36193
t|1361|2440|9|4471|8283
t|1911|2643|2|4702|9260
f|16537|2827|19463|4483|43311
f|2454|2768|18994|4849|29068
t|8196|2653|8|6173|17032
t|9620|5245|12|7952|22829
f|12825|4520|21525|7176|46047
t|8609|4909|16|8720|22255
t|8020|2696|14|6696|17427
f|10261|2845|20895|5999|40001
f|3944|2566|20746|5406|32664
t|8437|2646|8|5642|16735
t|9417|2285|8|5375|17086
f|10948|2640|28166|5485|47240
t|9201|8072|9|5734|23018
t|9167|2893|12|5372|17446
f|9150|3237|23863|5657|41909
t|8206|2904|13|7076|18202
f|21310|3016|23655|6034|54017
t|10125|2275|10|5881|18293
t|8230|2061|15|6354|16661
f|14077|2979|22641|6002|45701
f|5467|2676|23812|5957|37913
t|9880|2494|11|6041|18428
t|9678|2626|11|5704|18020
f|11954|2789|25724|5605|46074
t|10291|2786|13|6942|20034
t|10381|2564|8|6082|19037
f|10603|2430|28539|5251|46824
f|9079|8799|24488|4724|47092
t|110619|2618|14|7515|120767
f|99096|2690|26278|5931|133996
f|101114|3090|28467|7532|140205
t|109180|3247|4|7407|119840
f|105822|2391|29788|327565|465567
t|140020|2257|3|5732|148014
f|142120|2771|28810|7943|181645
f|145747|2612|29249|7070|184680
f|85068|16651|29436|7409|138565
t|111058|13000|5|8867|132931
f|101218|5798|93923|8173|209114
f|84965|2405|107872|71162|266406
f|106657|2772|33254|71426|214111
f|84594|6974|31170|74644|197384
t|111620|2768|13|7384|121787
f|1791074|1300612|498958|511702|4102347
f|510821|390816|900800|2806499|4608938
f|1104368|996644|1499822|702833|4303668
f|1390219|1100299|907580|890825|4288925
f|319216|2564|43084|49810|414676
f|189312|2425|46460|49395|287594
f|148318|2351|55636|16493|222800
f|226449|2544|64549|39513|333056
f|162516|2414|60526|44212|269670
f|200529|2298|60840|43962|307631
f|185057|2273|63510|42763|293604
f|165063|2282|144596|243890|555833
f|449955|3748|148396|1944279|2546380
f|608628|298556|1689045|2001054|4597284
f|457746|395167|407363|1397173|2657451
f|607853|399565|497996|903795|2409210
f|400571|590083|405797|903936|2300389
f|407650|698262|402810|1196879|2705602
f|406721|400299|393101|1604454|2804576
f|136156|2165|77784|13728|229835
f|98392|4223|74610|206875|384102
f|99395|601740|695559|1001877|2398573
f|264713|99691|497745|2090318|2952468
t|299073|200474|5|1994305|2493859
t|29705|3900|11|4321|37940
f|1478|5699|15171|4426|26776
t|22806|2555|13|4878|30253
t|30059|2895|17|5111|38083
f|742|2916|15444|4465|23568
f|7917|2696|15936|4100|30650
t|29985|2775|24|4353|37138
t|29549|2457|15|3930|35953
f|9282|2741|15469|3555|31048
t|29738|2477|4|4269|36489
f|1668|2790|15108|4401|23968
t|36457|3798|3|5353|45613
f|11105|4090|21257|3959|40412
t|36711|2760|13|4441|43926
f|161238|2273|28415|9726|201653
t|347078|2218|13|8434|357745
f|97432|2256|30439|9259|139389
t|347372|2152|18|11118|360661
f|136117|2091|25681|8937|172828
f|100445|2202|26924|9323|138895
t|347114|2123|2|8717|357958
f|130550|2112|28733|74628|236024
f|119473|2114|30080|9874|161543
t|347046|2083|2|10277|359409
f|100919|2175|31737|32898|167731
f|136610|1926|31426|9397|179361
t|350402|2388|12|9499|362302
f|119729|2156|40963|10554|173404
t|361011|76368|18|11982|449381
f|101310|78651|97485|9071|286518
f|210216|6251|39984|10135|266587
f|157930|2304|41127|9253|210616
t|333478|2195|14|9353|345042
f|97573|2153|46155|27886|173768
t|92070|5767|6|21415|119259
t|86717|2086|12|50517|139334
t|200123|11536|5|117918|329583
f|231491|101902|49291|35366|418050
f|95358|2285|46134|8180|151958
f|133448|2352|47874|25242|208917
t|89459|2151|9|9699|101320
f|99843|2096|58748|10402|171091
f|99191|34936|96128|12154|242411
f|180815|3869|50035|51105|285825
f|100455|3426|48211|10860|162954
f|109306|2120|89441|111442|312309
f|204119|3750|296485|2095873|2600230
f|498870|403184|294449|1100313|2296818
f|115128|495703|400274|799676|1810782
t|611478|2846|85546|105517|805388
f|202502|3130|47573|10335|263541
f|109448|2241|48067|41924|201681
f|109782|2172|198308|2194493|2504756
f|404239|503634|399844|1296019|2603738
f|505418|400537|691188|825270|2422415
f|404353|496880|598653|1311033|2810920
f|299961|493294|301155|905629|2000041
f|496832|597540|308521|1199233|2602127
f|88393|9848|90721|26373|215337
f|2022|10625|18699|175206|206553
t|17735|27298|11|8728|53773
f|4737|2389|46106|7775|61008
f|200625|114295|187589|508990|1011502
f|164254|101861|96004|812111|1174231
f|2533|2539|18049|6493|29615
f|2384|191271|100897|409212|703765
t|778|487093|11|702234|1190117
t|7984|2601|11|6120|16717
f|7286|2453|18972|6082|34794
t|7593|3256|18|4589|15457
f|3970|2808|18324|5529|30632
t|7657|142036|3|5475|155173
f|8331|62126|24375|5300|100134
t|9884|2999|14|5923|18822
f|11375|2695|25830|6498|46400
t|11315|2958|10|6323|20608
f|4827|2652|23444|6574|37499
t|16851|3216|8|6295|26372
f|8096|2648|24228|5798|40771
t|11289|2128|8|5335|18762
t|14446|2846|12|8187|25493
f|9296|2872|24061|5506|41737
t|12747|5682|4|6595|25029
f|6035|3007|25168|5591|39803
f|8265|2547|24397|6228|41438
t|12073|2339|10|6169|20592
t|13849|2669|15|6418|22953
f|8619|2899|28228|6945|46693
t|13866|2618|6|6255|22746
f|5050|2548|30946|5105|43651
t|13349|3005|3|6077|22436
f|8858|2926|32558|6494|50837
t|20549|2773|3|6126|29452
f|10264|2573|34854|7874|55567
t|15269|4043|4|8678|27995
f|6924|4565|33647|8208|53346
t|17127|2533|12|8175|27848
f|9755|2526|36486|5199|53968
t|15846|2775|10|6101|24734
t|15562|2343|12|8717|26635
f|9154|2565|46013|6368|64102
f|5873|2952|37793|6454|53074
t|16230|3128|13|6492|25865
f|11340|3012|36546|6109|57008
t|15668|2572|12|18501|36754
t|25576|3378|8|6890|35853
f|8950|2896|39247|7014|58107
f|5846|2485|39911|6780|55024
t|16232|2125|4|8077|26440
t|21109|2498|12|7399|31019
f|8060|2246|43309|39676|93293
f|2737|2513|41698|7105|54054
t|19211|2674|14|7793|29694
f|10792|3647|43382|7588|65409
f|6152|2533|42382|7825|58893
t|18214|2747|12|7698|28673
f|4180|2896|41213|6710|55001
f|7721|2630|44796|33745|88893
f|470568|115627|185149|501335|1272680
f|401534|15379|181868|311796|910577
f|393251|200769|212643|392016|1198681
f|4061|2747|45413|6697|58919
f|140211|2461|52178|8195|203046
f|80235|2884|48721|9204|141045
f|98300|3443|51483|7171|160399
f|292193|2214|60699|12378|367487
f|378279|8142|90377|806448|1283248
t|19054|2864|4|7697|29621
f|4843|2304|43764|8907|59820
f|4858|2734|44078|6709|58381
f|12366|2506|43773|7149|65796
t|20552|2675|10|7557|30795
f|139052|2866|57470|10534|209923
f|84685|3241|54327|7750|150005
f|128879|2590|50912|7781|190163
t|32286|2618|6|14598|49510
t|194848|195302|9|707797|1097958
f|505890|95034|195180|407065|1203172
f|305806|91499|290706|124187|812199
f|104493|99327|189324|215376|608522
f|296161|104569|183086|316831|900649
t|836|3735|14|4072|8658
t|594|3018|9|4946|8569
f|643|2510|11782|4445|19381
t|1006|3002|12|5123|9146
f|930|2512|10939|4784|19166
t|663|3039|11|4724|8439
f|40485|3120|13391|4271|61268
t|14795|2607|12|5250|22666
t|21719|2448|10|4465|28643
t|6438|2420|12|4877|13748
f|601|2455|6840|4153|14050
t|828|2449|13|4454|7745
f|885|2553|9078|4621|17138
t|660|2470|11|4860|8001
f|1030|2792|8079|4382|16285
t|1170|2672|13|5446|9303
f|49635|2527|11173|4845|68181
t|1011|5787|12|20538|27349
t|864|2724|11|4197|7796
f|843|3027|8870|4485|17226
f|708|2727|10565|4525|18527
t|816|2787|14|5843|9462
f|730|2716|10206|4950|18603
f|1993|150778|24386|4184|181342
f|26198|2583|18520|5023|52325
t|31304|3418|15|4834|39573
f|1266|2624|17705|4496|26094
f|2140|2559|18593|17250|40544
t|28279|2810|9|5294|36394
f|74553|3136|15070|4597|97357
f|5789|2687|14447|4675|27600
t|28596|2579|10|5200|36386
t|25034|2468|12|4711|32226
t|27613|2614|8|5955|36192
f|70655|2584|16815|4726|94781
f|3121|2428|22366|4981|32898
t|27274|2914|10|5046|35246
t|23702|2812|12|6509|33037
t|29550|2492|6|5134|37184
f|71790|2508|17000|5208|96506
t|29524|2296|11|5888|37721
f|1400|3090|18531|5259|28282
t|28794|3041|3|5932|37772
t|27846|4036|5|8921|40809
f|26335|276801|18397|6153|327688
t|36052|79130|5|300346|415535
t|2148|109678|7|303430|415265
f|212983|91472|94195|30910|429562
f|30301|3518|20677|5843|60341
f|1889|2778|20261|6177|31106
f|1328|3378|18131|5949|28788
t|27670|2619|5|4800|35094
f|32249|2187|21098|5200|60736
t|34029|3021|10|5544|42605
f|1973|5562|20097|6621|34256
f|1600|3171|21101|5366|31240
f|1489|2321|18998|7390|30198
f|10996|4310|19964|6951|42223
t|35781|7003|9|11030|53825
f|125174|4050|36744|71773|237742
f|233292|6587|83830|379521|703232
f|323117|191036|95764|123461|733379
f|297086|12437|183226|498208|990959
f|113670|92903|98155|496684|801413
f|396494|9530|180445|21983|608454
f|115691|88134|97710|118254|419790
f|387012|95014|99108|506349|1087484
f|414865|180040|99936|312675|1007518
f|502207|305222|385465|1502822|2695717
f|485095|300562|395737|1502346|2683741
f|201743|296223|306771|1392787|2197525
f|601609|396426|297658|1110147|2405842
f|210608|288444|598320|1106943|2204316
f|297059|293988|110262|507153|1208464
f|189419|4376|187233|102786|483814
f|198420|2193|183306|207377|591298
t|505562|395381|15|1708398|2609356
t|30816|3591|12|5642|40063
t|244343|45665|8|104670|394687
f|297131|2342|114695|12387|426556
f|134236|2446|47718|10805|195207
f|290316|207002|495311|1700937|2693568
f|183393|2164|39440|10814|235812
t|294300|2329|16|9480|306127
f|100512|1929|37574|10346|150363
f|253045|2074|36169|10865|302155
t|271866|2065|2|27317|301252
f|127895|2023|37400|11478|178797
t|295393|2210|12|10038|307655
f|95203|2186|38684|11355|147430
f|237023|2285|36939|11437|287685
t|298816|2160|12|9952|310940
f|243839|2290|45678|11057|302866
f|143365|2088|54659|102814|302927
t|446398|3934|25|189182|639540
f|142729|3929|109803|14881|271343
f|312849|2164|61106|18982|395102
t|171953|2064|11|11811|185840
f|104624|2339|63859|13011|183834
t|174182|2510|19|18150|194862
f|124447|2354|66803|11818|205423
f|165293|2152|71166|31196|269809
t|178752|17883|14|13281|209931
f|131114|2203|50985|22328|206631
f|261340|2090|55354|14823|333609
t|309137|2137|12|58590|369878
f|135073|2390|49981|11308|198753
t|166989|2015|10|37983|206999
f|101245|3216|56516|24413|185392
t|166534|2779|14|32528|201856
f|132885|2155|51169|13289|199499
t|159759|2137|16|38437|200350
f|120143|2126|79467|12761|214499
f|196335|3562|50236|53946|304080
t|157811|2274|12|42481|202580
f|223493|2366|51646|16701|294207
t|155302|2145|27|44188|201663
f|104303|5651|84244|14027|208227
f|192547|3574|93236|12887|302246
t|165854|2102|12|21872|189842
f|132684|2231|54273|11597|200786
f|140709|2390|67192|211112|421404
f|158834|2161|68390|12340|241726
t|262941|2273|9|92601|357825
f|289013|3710|95565|102566|490855
f|208597|192549|102581|1698430|2202158
f|500752|309975|294494|1701333|2806556
f|594866|200687|297830|808795|1902180
f|192842|95116|98485|24426|410870
f|110339|2625|87243|1708503|1908712
f|495126|405210|390792|1401204|2692333
f|405684|393398|299281|1100624|2198988
f|509110|299424|392085|813756|2014377
f|499280|302820|292988|612604|1707694
t|123101|2377|3|22809|148291
t|127968|1992|16|53055|183033
t|133029|2222|3|67263|202520
f|85411|2851|29419|6393|124075
f|5246|2109|13376|5142|25875
t|12045|2685|9|6022|20762
f|33867|2315|17776|7156|61115
t|122352|3299|5|8326|133983
f|130856|2270|27231|30904|191263
f|85042|3467|92690|10667|191867
f|85913|3094|31493|39590|160092
f|85516|2972|30184|7067|125741
t|111705|2602|10|12422|126740
t|2340|3040|7|5219|10608
t|2082|3348|6|5545|10982
t|49435|3086|7|5661|58191
f|3278|2724|8818|5163|19984
t|2938|2802|19|5670|11430
t|7852|2524|11|5911|16299
f|46390|3352|7774|4411|61929
t|11111|2722|11|5681|19527
t|10184|2798|12|5163|18158
f|37416|2706|9709|5261|55093
f|4639|3031|8895|5693|22259
t|5687|2523|13|5018|13242
t|5373|2207|10|5684|13275
f|33293|3131|12971|5015|54412
t|12688|2686|13|6287|21675
t|12572|3305|4|5706|21588
f|87338|2740|12828|5832|108741
t|6186|2734|13|5803|14738
t|7695|4613|4|9367|21680
t|14847|2646|16|7341|24851
f|7968|3375|14223|40979|66546
t|13216|2627|21|6343|22208
t|13005|2610|11|6934|22562
t|6074|2602|7|5891|14575
f|70804|2813|19740|5848|99207
f|5902|2242|20113|5963|34221
t|15520|2833|13|6032|24399
t|6495|2829|12|6436|15774
f|40673|2971|22724|5269|71638
t|13615|2756|8|7728|24110
t|14571|4153|15|7256|25997
f|37960|3013|21916|18457|81348
f|6077|2524|19785|6579|34967
t|6434|2593|13|6988|16029
f|31368|2561|23074|6875|63880
t|16257|2643|12|8053|26967
t|8396|2563|4|6764|17728
f|31817|2580|26138|7015|67551
f|9457|2767|26072|6728|45025
t|15073|2358|6|7112|24551
t|112706|2638|12|6254|121612
f|89870|2524|26437|6385|125218
f|83121|3010|28111|6470|120713
t|106959|2644|11|6882|116497
f|85782|2798|26409|6546|121536
f|84908|2794|26138|6481|120322
t|111545|2478|14|7019|121057
t|106911|2913|17|9022|118864
f|85054|2664|28539|7577|123835
t|110979|3030|12|7805|121827
f|124092|2924|54188|7205|188411
f|86983|2421|27453|8805|125663
f|90481|1983|26047|6840|125352
f|83729|2577|26667|7123|120098
t|112561|2357|12|9578|124509
f|92463|2559|26850|7608|129481
f|84388|2744|30199|7659|124991
f|131811|2223|28311|21354|183700
f|90548|2570|27231|6753|127104
f|83756|2695|27422|9589|123464
t|121535|2542|2|7525|131605
f|33005|3306|64142|8124|108578
f|117926|57228|31947|7842|214944
f|91707|2989|28539|7689|130926
t|107458|2619|10|21015|131104
f|84266|3022|31251|7896|126437
f|93751|2958|29113|6425|132249
f|86560|2607|30205|7686|127060
t|113410|2553|10|7613|123587
f|91866|2474|40731|7413|142485
f|101069|5269|88950|106868|302156
f|301963|98892|196423|299136|896415
f|204242|101787|93455|205644|605130
f|294765|100181|299800|412806|1107553
f|104548|95704|100380|196986|497619
f|104753|105432|197846|602179|1010211
f|244739|96247|98233|11693|450914
f|103497|99232|398602|301953|903285
t|107652|2610|12|7475|117751
t|109871|2515|13|6877|119278
t|1504|2900|11|5206|9623
t|1914|2659|10|5877|10461
t|3302|3330|5|5175|11815
f|2296|3057|12017|4778|22148
t|3338|2554|10|4789|10693
t|1684|2397|14|5397|9494
t|4051|2533|12|5039|11636
t|2683|2609|8|5288|10589
f|2478|2612|11919|4855|21864
t|3860|2851|11|4904|11627
t|4550|4166|36|6633|15387
t|3569|4787|15|9891|18263
t|5107|3116|3|6212|14438
f|4231|3004|17441|5649|30326
t|2334|2777|13|6217|11343
t|6772|2494|11|6207|15487
t|5940|2647|13|6036|14637
f|4314|2811|27114|5425|39665
t|3900|2997|12|6222|13133
t|8515|2439|10|6166|17131
t|4398|2636|12|5961|13009
t|11399|3734|8|7765|22907
f|4335|2580|28945|5699|41561
t|8567|2743|12|6319|17643
t|5506|2312|6|6022|13847
t|10021|2633|5|6833|19493
f|5986|3622|30942|5906|46458
t|5359|3234|25|6037|14657
t|12894|2691|18|6934|22538
t|109142|2502|10|6814|118470
f|84140|2582|34326|6438|127487
f|291242|7320|92083|10651|401298
f|105151|94757|105427|703933|1009270
f|103694|191371|206242|404739|906047
t|108024|2557|13|6724|117319
f|87153|2753|33161|7328|130398
t|114108|3233|19|7382|124744
f|84830|2545|36600|6897|130873
t|112992|2520|13|7659|123185
f|84976|2347|45859|7229|140412
t|109398|2268|11|7579|119257
f|87113|2558|44888|8130|142690
t|115315|2829|11|7357|125513
t|109500|1972|9|6637|118120
f|85539|2166|48082|13098|148886
f|88025|2436|46537|7936|144936
f|84532|2731|48540|8503|144307
t|118094|2969|14|41662|162741
f|201556|4738|88433|109277|404005
t|309425|100294|6|397364|807090
f|103476|97352|103578|195561|499968
f|193382|298768|494372|1304929|2291451
f|158888|3566|89118|1806699|2058273
f|390882|401601|304195|706304|1802984
f|296988|200994|98837|195493|792313
f|491522|109884|191257|509549|1302214
t|154899|3419|8|96730|255057
f|207874|2427|62215|28601|301119
f|88518|2330|50166|11740|152756
f|132858|2248|83823|112407|331337
f|101629|95383|51262|52266|300542
f|92893|174211|99270|1688007|2054382
f|192862|297940|398327|1312117|2201248
f|612179|388910|402344|808311|2211746
f|290532|305449|494290|508405|1598677
f|402441|194848|102397|1699000|2398687
t|646|9324|15|4221|14207
t|662|2435|14|4087|7200
f|857|3058|12799|3979|20695
t|586|2483|15|4269|7354
f|913|2765|11779|4161|19620
t|827|2706|12|5514|9061
f|720|3430|12164|3652|19967
t|854|2843|14|4464|8177
t|606|2364|8|4109|7089
t|636|2640|19|5079|8376
f|868|2641|11945|4312|19768
t|2353|2851|11|5568|10784
f|37530|3670|12811|4566|58580
t|13861|3023|15|6161|23062
t|7132|2781|3|6308|16227
f|71875|2902|15988|6104|96871
t|14536|2732|7|5516|22792
f|4892|2883|15893|4758|28428
f|41476|2597|17076|5788|66938
t|8102|2587|11|5917|16619
t|17447|2357|8|6899|26713
f|44512|2719|18484|6305|72022
t|15072|2233|19|5796|23121
t|7326|2777|6|6047|16157
f|85275|3512|18971|6069|113828
f|87841|2713|19822|6252|116630
t|15515|2634|14|5903|24067
t|107529|2723|14|7306|117573
f|84117|2571|21024|5936|113649
t|111044|2407|14|6476|119942
f|84998|2607|25036|6471|119113
f|88722|2449|23870|6506|121548
t|110607|2715|14|5873|119211
f|88928|2482|24744|6595|122750
t|107326|3217|11|6466|117022
f|86190|2830|26695|5862|121579
t|112307|2429|4|7675|122416
f|93865|2483|26511|51586|174446
t|108657|3463|3|7205|119329
f|84152|3079|30024|6679|123936
t|119811|2751|29|7445|130037
f|84868|2822|30718|7732|126142
f|99592|2672|35229|7746|145240
t|118169|2633|14|7825|128643
f|86411|4044|40956|9459|140871
f|103782|4128|46949|17806|172666
t|111449|2631|15|30773|144870
f|87496|2434|39313|7745|136989
t|130261|2123|12|8026|140424
f|198516|3878|63536|10072|276003
f|91115|2539|50179|7449|151283
f|96275|3657|118618|43582|262133
f|96688|2481|67842|11749|178762
t|156732|18196|11|107625|282565
f|210555|198188|95717|1601699|2106160
f|110423|390708|104287|1702630|2308050
f|215787|187208|506036|704984|1614017
f|197785|304963|289897|511106|1303752
f|406716|301042|387328|912868|2007956
f|495079|397169|402666|510223|1805139
f|506526|294939|707232|688921|2197619
f|507061|189977|101035|511846|1309920
f|402869|97583|390680|313387|1204521
t|388043|312015|5|1399150|2099215
f|302028|298884|498195|510524|1609632
t|18723|2984|4|44057|65768
t|8434|2613|13|7633|18694
f|84278|2860|53516|7571|148227
f|4427|2686|41665|8121|56901
f|114758|2676|46533|8084|172052
t|110225|2565|13|8677|121482
f|83470|2782|58015|8705|152974
f|87354|2356|49385|8882|147979
t|582|3447|15|4188|8233
f|815|2631|9553|3668|16668
t|933|3018|11|3502|7465
t|898|2698|15|4598|8211
f|642|2874|11080|4925|19523
f|931|3461|10059|4263|18715
t|686|3053|10|4474|8226
t|973|2579|13|4311|7878
f|837|2740|11856|4056|19491
t|692|2675|9|4060|7438
t|845|2619|12|4574|8051
f|1161|2798|11869|4468|20298
f|713|2136|9938|4245|17035
t|724|2802|26|4806|8360
t|632|2698|11|4630|7973
f|34953|2569|17971|4311|59806
t|989|2421|11|4965|8388
t|1043|2653|14|5264|8976
f|923|2321|19330|4521|27096
f|35463|2737|21601|4961|64763
t|1350|2372|18|4921|8662
t|1438|2526|9|5249|9223
f|33652|3223|19049|4766|60691
t|2911|2640|15|5355|10921
t|1819|3103|3|7587|12513
f|28577|4101|22004|5730|60414
t|2277|2582|12|5604|10477
f|28025|2981|21660|5298|57966
t|3063|2571|20|5343|10999
t|1746|2624|14|5641|10026
f|3827|2678|21950|5590|34047
f|3109|3492|27980|4729|39312
f|2911|3620|20344|15422|42299
f|29241|2530|21145|5716|58633
t|2910|2659|14|5278|10863
t|4184|2815|14|5516|12531
f|30773|3116|25232|5392|64515
t|4706|2490|14|5109|12320
t|5205|2550|13|6655|14425
f|30997|2923|28784|4754|67459
f|32289|3375|51768|8496|95929
t|15348|3051|15|8167|26582
t|3365|3587|26|6666|13646
t|11092|5231|10|6947|23283
f|36660|4463|39629|59137|139890
t|7289|3006|15|6600|16911
f|35715|2541|40257|7962|86477
f|3982|4251|29884|5505|43624
