optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration
t|1188|2663|13|4635|8500
f|12100|3225|13779|332329|361434
f|4001|3261|13463|4984|25710
t|3052|5097|7|6449|14607
t|3124|2497|9|4627|10259
t|74788|4643|13|12108|91554
t|9294|2749|3|5876|17925
f|7024|3452|17829|7254|35561
f|13370|3069|17835|6508|40784
t|8616|3265|5|6250|18138
t|9166|3028|9|6038|18243
f|14619|5272|20345|5751|45989
t|8702|2562|7|5651|16924
f|8554|2346|13722|5446|30070
t|2876|2540|9|5460|10886
f|9403|2537|14222|6539|32702
f|15151|2956|23070|7749|48927
f|96743|3363|24028|8516|132651
t|207608|3757|14|8292|219672
f|153924|2424|34331|11728|202409
f|189833|2441|48400|79594|320270
t|471539|9206|12|200211|680970
f|305703|6909|278571|105322|696506
t|10474|4589|49|10058|25172
t|404426|13994|8|280316|698745
f|303192|10841|187001|10746|511782
f|405249|3928|146868|48209|604256
t|214147|87927|7|12128|314209
f|209129|100802|196658|1193006|1699596
f|205641|94630|94000|14248|408521
f|215034|192172|95664|114299|617170
t|218245|4172|5|50777|273201
t|213021|2389|14|70811|286237
f|97664|2133|55436|11659|166894
f|173155|9352|57653|11637|251799
t|213220|2353|5|72702|288282
f|157873|85232|99279|11096|353482
f|194309|2413|143831|40890|381444
f|189079|2402|56362|13029|260873
t|211756|91781|8|113481|417027
t|215048|63647|19|107096|385811
f|279834|6057|92393|305447|683733
f|307560|192756|98700|1108837|1707854
f|215993|183344|105859|1104013|1609211
f|391930|297977|100574|315621|1106103
t|1311|2381|11|4515|8220
f|1499|2707|99685|5202|109094
f|106733|2312|25715|12015|146776
t|1350|2250|11|43970|47582
f|1484|2706|105652|5106|114950
t|1260|2833|14|4713|8822
t|1445|2586|10|4803|8847
f|110571|2817|34261|11837|159487
t|1678|2701|14|4810|9205
f|12761|2434|100224|4045|119466
t|1181|2993|16|4723|8915
f|12002|3710|106633|4755|127100
f|112628|3452|33295|57170|206546
f|11331|2689|159099|8671|181792
t|1509|3068|14|4668|9260
f|12820|17580|103414|4873|138688
t|1427|2678|11|4825|8944
f|124136|2412|35202|49741|211493
t|1533|3202|13|4649|9400
t|35518|3864|6|6940|46330
t|2082|22804|16|5323|30226
t|1561|2745|12|4747|9066
f|11483|2670|101784|5005|120944
t|1584|3047|18|4938|9589
f|140835|2256|37936|32107|213136
f|120518|58842|50250|11874|241485
t|3801|3238|32|5550|12622
t|1868|2930|14|4746|9559
f|109966|2455|40380|46165|198968
f|13465|2789|100721|4561|121537
t|1231|3263|19|4801|9316
f|133054|2500|39137|14057|188750
f|113020|52968|47833|53667|267490
f|113881|4341|43733|16046|178002
f|105482|4083|190179|14327|314072
f|1718|5353|100001|5795|112868
f|120175|3942|111671|11064|246854
t|4849|2677|13|5868|13409
f|143191|2482|43664|34161|223499
t|1278|3058|15|7401|11753
t|1706|86352|12|94220|182291
f|300068|4237|189281|202898|696485
t|2379|8329|8|7863|18581
f|6203|3401|106604|5404|121614
f|132621|2355|99287|12866|247131
t|2892|2960|29|9869|15751
f|112292|3966|52278|41805|210343
t|1347|2945|2|5851|10147
t|1372|2923|13|4628|8937
t|2413|3073|13|5594|11095
f|126876|2602|67740|14612|211832
f|168261|3570|127156|12751|311738
f|2291|2363|103219|5881|113756
t|3297|3239|3|5712|12253
f|205361|5103|191830|106291|508586
f|120771|2450|29727|14325|167275
f|105236|2370|27761|13357|148726
t|392169|2432|2|44768|439372
f|230947|3038|30736|61462|326185
f|112528|4109|29327|262370|408335
t|489251|99986|7|104238|693483
f|158478|2811|93494|103816|358599
f|146273|2444|87002|16807|252527
f|245889|3427|192990|206001|648308
f|239102|4128|122100|12030|377361
f|289231|2492|31166|10886|333776
t|408581|2606|11|89761|500960
f|191782|2514|34490|58468|287255
f|312514|2956|58342|16712|390525
t|443370|2226|13|47217|492827
f|112683|2564|44254|40794|200295
f|246942|2497|41024|50913|341377
f|119587|39341|96823|14559|270312
f|249888|4267|38875|69119|362150
f|108905|2307|79047|164269|354530
f|110184|2345|43391|91479|247401
f|115981|2867|120807|13383|253039
f|147939|2367|41041|12145|203494
f|115370|2355|40170|12432|170329
f|331916|97073|99999|204452|733442
f|305035|4568|189833|15507|514945
f|504970|493052|502197|312091|1812311
f|899344|309561|789061|513310|2511278
t|396939|5415|5|1192176|1594538
f|396175|201654|193726|1798485|2590042
f|612807|394394|292719|805131|2105053
f|209542|188506|102240|1210471|1710762
f|511221|189813|198741|1704874|2604650
f|503401|501791|605009|489280|2099482
f|710910|497314|502103|390610|2100939
t|321979|3953|6|108802|434743
f|116291|84303|96782|14760|312138
f|130534|2360|38076|12976|183947
t|166534|2319|11|33060|201926
f|354266|4307|89729|211244|659547
t|169782|2436|14|22481|194713
f|151946|2215|34601|18791|207554
t|167537|2521|33|79796|249889
f|312428|3743|93272|209508|618951
f|205124|2784|41380|52033|301323
f|126619|2367|34686|11937|175611
t|252732|2756|15|97598|353103
f|120426|2345|83519|15476|221767
t|459017|2388|12|94797|556215
f|136454|2257|50040|12753|201506
f|186051|2765|52453|13951|255221
t|291230|104495|9|201175|596911
f|402102|103185|195446|1105218|1805951
f|132542|2374|50793|14434|200144
f|167319|2630|39834|13409|223194
t|221545|2417|12|90454|314429
f|143931|2403|37223|11119|194677
t|168688|2591|13|41815|213109
f|116788|2393|37351|46008|202543
t|156522|2323|11|48241|207098
f|132198|2397|36889|11642|183127
t|168392|2358|7|53221|223980
f|133744|2425|39533|11652|187356
f|166006|2732|37595|10924|217258
t|168830|2360|13|40336|211540
t|169821|2369|13|51317|223522
f|148021|2078|41690|10895|202685
f|137103|2288|75681|12384|227458
t|176674|3302|12|31783|211771
f|140997|4467|46636|20116|212217
t|174702|2455|12|36629|213801
f|133823|2352|47742|83636|267555
f|136082|2308|48186|17062|203640
f|598768|5130|194452|1096203|1894554
f|401985|97423|100283|1102996|1702688
f|511820|394802|193493|311144|1411261
f|309246|197524|190925|1301827|1999524
f|888452|312756|198066|299401|1698676
f|293236|199436|103562|1494762|2090997
f|404103|294542|101398|1606862|2406907
f|203553|287330|398723|1501361|2390969
f|692861|396439|598435|514894|2202631
f|206480|101494|188221|1199649|1695845
f|503826|493432|308433|897219|2202911
t|108182|6042|4|193131|307360
f|105947|4250|86921|307902|505022
f|107395|94070|99181|13779|314426
f|86925|2826|32196|7081|129030
t|134519|48998|12|7231|190762
f|93594|2757|29419|7161|132931
t|139862|2992|6|8312|151173
f|94318|2854|33981|7445|138600
f|91178|2873|33085|7486|134623
t|141657|42819|7|9276|193760
f|86005|2876|47036|8433|144351
t|142832|2631|11|7769|153244
f|90786|2690|50017|6939|150434
t|148518|2657|9|8327|159513
t|147585|38213|10|12241|198050
f|85220|3383|72145|11625|172375
t|176405|5948|6|95794|278155
f|116133|3636|74762|366834|561367
f|99318|10665|90802|13328|214114
f|104400|94508|100416|307047|606372
f|172503|92862|99508|12685|377560
t|110853|88034|14|113087|311989
t|697|4611|6|5987|11303
t|1037|2795|12|4658|8503
f|9683|3001|15816|4562|33063
t|950|2848|13|5368|9181
f|11487|3699|17853|6908|39948
f|18394|11204|17016|6174|52791
t|132558|2376|13|5895|140843
t|132058|2637|13|6437|141146
f|11571|2835|20570|13030|48007
f|26924|2578|24214|6025|59742
t|138897|2637|8|7374|148917
t|105821|2596|15|8174|116607
f|96562|6253|27377|5349|135543
t|164479|3145|22|7905|175552
f|92999|3091|51690|7466|155247
f|108033|2858|76733|12472|200096
t|136484|3178|13|7251|146927
f|133027|2707|42584|7499|185819
t|125903|3074|14|7038|136031
f|83238|2566|40952|9074|135831
f|89278|5624|37868|7418|140190
t|134348|2895|13|7654|144912
f|98864|2909|41818|7847|151439
t|139041|2908|9|8508|150466
f|89269|3465|50494|42186|185415
f|110685|2832|50144|7893|171556
t|148522|2998|13|18789|170323
f|101751|2882|51286|8916|164837
f|94130|2865|53223|8094|158314
f|83994|12119|54074|43976|194165
f|89151|3724|73625|12956|179456
f|92036|2358|56091|36558|187044
f|93905|2374|85983|10219|192482
f|93049|4788|90159|99349|287346
f|167435|4909|89098|303627|565070
f|109991|6205|83408|210753|410359
f|116090|2870|58350|8832|186143
t|147179|37040|8|10971|195198
f|96354|5589|76711|16508|195164
f|97508|63868|94598|102900|358875
f|176644|4549|91016|204674|476885
f|101018|90935|65556|147882|405393
f|186005|4493|189738|300751|680988
f|97794|5019|89811|11353|203979
t|182736|4788|4|98569|286098
f|106504|4098|53312|41209|205125
f|93517|3137|59200|10736|166592
f|86452|95099|100065|204922|486540
f|88059|102682|90158|402891|683792
f|106911|92196|100534|10473|310115
f|82978|2792|80703|13354|179829
f|87782|3307|77328|8865|177284
f|305645|301289|197905|1016605|1821445
f|395473|391840|200244|299669|1287227
f|297123|110947|489352|797612|1695036
f|5617|3282|13281|5205|27386
t|7794|2761|14|6121|16691
f|11300|2709|21823|6069|41903
t|17042|2911|13|6030|25997
t|18383|2747|11|5629|26771
f|4129|3242|23226|5480|36078
f|11359|3220|30793|5714|51088
t|1849|2505|9|4938|9303
t|1460|3891|14|4493|9860
f|38686|2579|13692|5151|60110
t|980|2724|14|5049|8768
t|1355|2785|15|4712|8868
f|4525|2756|11426|33332|52039
t|7938|3527|11|6048|17525
f|13387|3383|30399|12851|60022
f|14671|3408|50093|53049|121222
t|39947|2964|6|7968|50886
f|29889|2736|38644|7127|78397
t|35584|4007|16|7250|46858
f|12480|3020|43654|8506|67662
t|4325|2872|12|5552|12763
t|5172|3848|25|5274|14320
f|11950|2949|18928|10795|44623
t|24464|4457|13|7495|36431
t|37658|5911|5|55164|98739
f|16403|2414|41164|8766|68748
t|42885|2822|16|8535|54259
t|42669|3657|32|6299|52660
f|32768|2695|39422|25318|100205
t|41405|2836|13|8139|52395
f|11716|2604|24317|5468|44107
t|17732|2856|13|6109|26712
t|17628|2701|5|7703|28038
f|14551|3327|24573|5776|48229
t|20074|2523|15|6050|28663
f|5929|2587|25836|6390|40744
f|14935|2696|29286|5395|52315
t|23553|2950|13|14902|41419
t|22716|3609|10|7622|33959
f|12046|3048|29257|8812|53164
t|24239|2796|15|7050|34101
f|7750|4207|33226|12390|57574
t|35385|3013|13|7790|46203
f|13284|3826|36990|6085|60187
t|35155|3351|5|7036|45548
f|11110|3055|47963|59365|121495
t|395547|258602|14|155650|809815
f|292448|100409|94444|596812|1084114
f|214751|82822|100212|1500620|1898408
f|199943|409388|188738|1013952|1812023
f|13144|2867|75371|13795|105178
t|8433|92510|9|7839|108792
f|202953|5413|140136|54311|402814
f|105074|2278|183476|14113|304943
f|203369|4909|91747|18303|318331
f|101570|4409|56278|11913|174171
f|101393|2209|55811|473206|632620
f|458241|100812|179892|1609178|2348124
f|413281|599701|191641|618858|1823484
f|207953|4525|142170|51013|405663
t|249437|2276|13|59595|311323
f|113002|91283|94787|15947|315021
f|156146|5164|92471|413318|667100
f|391682|189847|96657|1599347|2277534
f|395220|493978|299106|110505|1298810
f|108100|65458|61294|103386|338240
f|310924|98070|280614|1314710|2004319
f|418642|394242|298992|408342|1520218
f|301381|406718|385984|710086|1804170
f|703340|489511|200323|596806|1989981
t|703261|211914|8|785343|1700529
f|1788899|1012157|1798407|1194164|5793629
f|700807|202053|106062|1190557|2199480
f|703280|207617|292948|1599165|2803012
f|1310821|690621|1708690|1205384|4915518
f|2298553|294702|1500323|1196187|5289767
f|1601842|601161|1698008|1105440|5006453
t|812549|193126|8|2094160|3099844
f|497905|3834|202183|300911|1004834
f|310575|93332|193687|2299779|2897375
f|309717|291545|109388|1788777|2499428
f|500238|394488|205482|2895457|3995667
t|554|2941|11|5104|8611
t|550|2395|13|4148|7107
f|93805|2388|11054|7667|114915
t|454|2629|15|3904|7002
t|29307|3336|17|6151|38812
f|89759|3800|11803|6792|112155
f|163711|2259|84311|15452|265734
f|1401212|804339|805704|2893722|5904979
f|1804811|595076|509298|1898675|4807860
f|1307630|999622|901222|2688063|5896539
f|998049|695889|1296611|1711790|4702341
f|1098739|505732|297320|1106790|3008582
f|602148|212880|191326|1693850|2700207
f|509063|292463|197449|2503876|3502853
t|700362|99134|46|3089487|3889030
f|495040|701018|705777|4693248|6595085
f|900146|204971|288573|4101315|5495006
f|1690694|806363|1603575|1103487|5204122
t|333824|2279|12|31598|367714
f|191726|2372|55929|36784|286813
t|236029|2394|11|351770|590206
f|318770|3430|191999|399334|913535
f|805932|105528|189458|1900780|3001699
f|1001049|694174|401219|3408716|5505159
f|1613740|597426|1090873|1403943|4705984
f|1508625|1290305|598267|1806952|5204150
f|1897497|803828|2004343|1198717|5904387
f|606428|200175|393070|1805070|3004744
f|392331|111886|188598|2407256|3100071
f|793215|899826|298659|2804917|4796619
f|612052|1092046|1396515|2412441|5513056
f|1708833|1092344|1099794|1699594|5600566
f|700615|96265|204828|1795300|2797009
f|500618|294304|102171|2102953|3000047
f|904961|402902|799689|4702413|6809967
f|510271|1596088|1702477|1106482|4915319
f|406678|494770|399508|4306331|5607289
f|603785|595444|312726|4400106|5912063
f|1298045|996794|699552|2124700|5119092
f|603739|1306902|1603321|1297143|4811106
t|4031|5506|7|6836|16380
f|99628|27365|88545|103424|318963
f|124198|4117|71742|8393|208451
t|874|2705|9|4895|8485
t|4655|3286|6|19578|27526
t|2746|3390|9|5191|11337
f|2558|2883|22867|5263|33573
t|2842|3044|10|5418|11315
t|3755|2769|21|5634|12180
t|17857|2708|11|5626|26204
t|5834|3016|45|5792|14689
f|5788|4391|32744|6160|49083
t|3134|3241|7|7266|13648
t|3732|2660|12|6785|13191
t|4126|2699|11|6474|13311
f|5469|2466|38813|5844|52594
t|19301|2810|18|5666|27797
t|6468|3185|11|6550|16216
t|4030|2705|15|6279|13031
f|4646|2803|38109|9572|55132
t|4186|2844|13|6800|13845
t|24703|2963|12|7494|35173
t|9406|2801|14|6880|19102
f|4606|3433|40396|6402|54838
t|5624|3015|22|7091|15754
t|4886|2615|13|6516|14031
t|5371|2693|14|7051|15130
f|5143|3141|46501|6609|61395
t|30167|2679|12|6623|39482
t|968|3706|11|7629|12315
t|2264|5328|7|8167|15769
t|9285|3185|4|5998|18473
f|1838|2665|17290|5678|27473
t|3492|2860|3|6024|12381
t|1251|2759|12|4866|8890
t|2965|3350|7|7686|14009
t|2649|3581|15|6252|12498
f|2901|2912|20216|5882|31912
t|9967|3280|13|6094|19356
f|98727|12449|83537|103709|298423
f|85553|3643|143697|37696|270591
f|87718|2369|74028|7696|171812
t|109407|2541|12|9762|121724
f|118843|2443|80004|7905|209197
t|108677|2938|4|7763|119383
f|4539|2896|52127|6077|65640
t|11659|2849|14|7466|21990
t|5442|2592|10|6910|14956
f|6194|3695|54106|6984|70981
t|7007|2811|13|7373|17206
f|4678|2254|56552|6817|70302
f|3714|2725|54557|6551|67548
t|7897|2678|12|5868|16457
f|4365|5359|57227|12813|79765
t|42627|2921|3|8878|54431
f|84940|2279|62645|7282|157147
f|85593|3161|62145|12298|163199
t|128898|8503|5|98202|235610
f|85052|2602|63080|20642|171377
f|128395|4849|63921|7767|204934
f|85343|5930|76386|8116|175777
f|88839|2552|79485|8922|179798
f|85393|2800|64838|7912|160945
t|690|2683|7|5719|9101
f|127947|10184|90599|107274|336005
f|106092|5916|193315|101953|407277
f|12967|3503|66891|7575|90937
t|2486|3166|10|7105|12769
f|13671|2789|49639|6866|72967
t|7528|2782|15|9824|20151
f|7359|3430|44797|6569|62156
f|14284|2822|61734|6265|85107
t|7386|3015|14|6030|16447
t|2220|2752|22|8083|13079
f|11037|2615|62552|6726|82931
t|2093|2506|7|7060|11667
f|3560|3060|61665|5332|73618
t|15474|3853|18|7712|27059
t|37730|4829|5|8932|51497
t|6831|2952|8|7017|16810
f|15908|2898|89108|8720|116635
t|3512|2937|6|9579|16036
f|11943|2627|53769|6363|74704
t|4341|2898|15|6964|14220
f|80593|2774|50417|8114|141900
t|25283|2928|14|7746|35973
f|5483|3199|51998|6553|67234
t|5192|2750|12|7777|15733
t|8851|2601|4|8351|19808
f|25036|2829|54132|8227|90227
t|6284|4993|13|10191|21482
f|7182|4179|63058|7236|81657
t|4350|2207|8|7373|13940
f|14388|2813|56913|12962|87078
t|29927|2907|20|7159|40013
f|13556|2750|59170|7110|82588
t|7379|2683|10|7963|18036
f|7516|2997|63984|7092|81591
t|11039|2572|819|7231|21663
f|14185|2757|59766|9472|86182
t|6448|2853|14|8921|18238
f|43321|2765|60212|8308|114608
t|5808|2957|11|7405|16182
f|8731|2917|60084|7421|79155
f|13467|2795|63755|8387|88407
t|5738|3902|13|8690|18345
t|14402|2529|11|7866|24809
f|5795|2773|65861|6491|80922
t|7275|2707|10|7722|17715
f|105194|2890|67393|9001|184480
f|85559|2912|68948|8689|166110
f|5016|2987|73939|8378|90321
t|13894|2797|10|8678|25380
f|14393|3904|69736|7871|95906
t|8074|2968|15|8547|19605
t|7733|2938|13|8541|19227
f|13737|2756|88658|8664|113817
f|9845|3160|65320|9332|87659
t|42731|4513|7|12115|59368
f|15868|3615|69872|9695|99052
f|84260|2880|67162|12261|166564
f|84259|2937|68722|8922|164843
