precheck_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
86662,23998,7179,117842,f
92892,30964,9911,133769,f
90251,28295,8449,126997,f
240062,95775,102920,438759,f
203840,96035,102260,402136,f
102768,30392,8459,141621,f
115576,39807,61349,216733,f
35498,40559,31176,107235,f
92198,44107,11020,147326,f
64906,43488,11542,119937,f
86863,29408,12649,128921,f
119790,39347,7482,166620,f
86372,31302,7815,125491,f
108648,47390,9552,165591,f
82878,30789,8126,121794,f
92335,28956,9686,130979,f
83980,29817,7603,121402,f
59796,39821,10311,109929,f
139667,41144,8747,189560,f
84021,28507,7930,120459,f
103349,30947,20154,154451,f
110800,43238,11312,165352,f
38720,40499,9068,88289,f
84924,28833,7986,121744,f
107394,29521,8552,145468,f
118795,42656,7692,169144,f
109294,31702,7391,148389,f
83919,40109,8336,132365,f
203998,95255,599089,898344,f
205880,99619,697917,1003418,f
107440,78446,122902,308790,f
43512,47687,72972,164172,f
170432,35037,14066,219537,f
114839,38113,16093,169047,f
65290,38071,19033,122395,f
132947,38897,20240,192086,f
205630,94103,125664,425399,f
187651,91311,217900,496864,f
189493,36282,79765,305541,f
103108,27726,55369,186205,f
116123,111410,274815,502350,f
190126,86924,318051,595102,f
108985,91550,698617,899153,f
293089,101769,510693,905553,f
197097,104670,596868,898636,f
304113,94373,216801,615288,f
189235,33151,64516,286904,f
131779,35408,18342,185531,f
141153,39768,45540,226463,f
100913,98456,613699,813069,f
205194,188968,804530,1198695,f
198845,105886,498654,803387,f
111649,37089,15684,164424,f
94896,44239,32651,171788,f
69777,43985,20284,134047,f
139817,63183,47054,250055,f
146448,40822,15506,202777,f
118426,54740,19526,192694,f
124426,43097,17201,184725,f
126840,60682,20696,208219,f
126628,42656,16625,185911,f
139425,39678,15373,194477,f
123486,56526,20194,200207,f
117795,42126,15760,175683,f
126703,49734,17791,194230,f
231706,64340,47261,343308,f
44061,42758,16342,103163,f
122456,47304,21276,191038,f
193787,57499,18918,270206,f
135042,45175,90853,271072,f
109159,94838,705891,909890,f
401293,100039,513237,1014571,f
307566,92144,608510,1008222,f
302283,94631,701030,1097945,f
14924,184242,18589,217756,f
118739,181866,16083,316690,f
110831,88686,205315,404833,f
103371,47658,14113,165144,f
306099,290730,692875,1289706,f
314084,285131,106400,705616,f
305603,197137,301591,804332,f
217270,183502,99934,500708,f
387511,96445,114972,598928,f
306426,91852,103267,501546,f
404012,97387,208585,709986,f
397204,91680,608866,1097751,f
403933,96249,506559,1006743,f
398195,101112,511211,1010519,f
502921,98512,594082,1195516,f
307776,191099,496248,995125,f
107877,188641,14432,310951,f
309634,100764,85179,495579,f
125618,102490,84634,312743,f
132267,167131,21453,320852,f
155254,117731,65784,338770,f
171902,164601,111997,448501,f
137450,140973,13856,292280,f
305271,197080,507780,1010133,f
412156,187146,609606,1208911,f
295962,100873,114707,511543,f
226315,106982,79441,412739,f
155029,95344,85760,336134,f
193213,93630,17419,304263,f
342513,95961,81244,519719,f
147156,176370,29371,352899,f
198333,196498,29562,424395,f
342168,115820,25893,483883,f
311183,188188,505376,1004748,f
114087,199232,397201,710521,f
197211,122735,976962,1296909,f
222477,380687,507884,1111050,f
350712,165606,90563,606883,f
401399,161456,288347,851203,f
297854,201143,385930,884929,f
290181,288894,996930,1576008,f
407291,299612,809486,1516390,f
389665,106061,13489,509216,f
135684,106630,57951,300266,f
125714,173041,202550,501307,f
120343,275845,315046,711235,f
201411,208650,895787,1305849,f
298780,202198,612092,1113071,f
116902,492079,390550,999532,f
394138,204712,200346,799197,f
311491,292100,510964,1114557,f
132009,109261,19219,260490,f
98213,99908,13061,211184,f
148252,107804,13969,270025,f
201889,130856,14067,346812,f
138882,61897,23092,223872,f
88414,55043,11295,154753,f
13765,30647,6862,51275,f
94647,42048,8978,145675,f
119343,37184,8141,164670,f
94492,38204,7923,140621,f
93273,42013,8899,144185,f
118058,37573,9458,165090,f
95415,42910,11382,149708,f
96254,41014,10742,148012,f
116349,41746,9048,167144,f
96615,42369,9436,148421,f
112241,39352,9644,161238,f
93724,44685,10002,148412,f
95031,44198,9539,148769,f
119919,40530,8741,169191,f
109284,36787,8643,154715,f
98543,40327,7890,146761,f
94586,45207,10149,149943,f
114707,43642,9688,168039,f
104182,42058,8350,154592,f
94112,49531,10049,153693,f
89991,42186,9013,141192,f
114924,61924,12463,189313,f
95593,46849,10031,152474,f
103521,44075,9818,157416,f
101739,51817,11337,164893,f
125052,48623,9385,183061,f
117844,54498,10059,182403,f
104668,60595,10455,175720,f
128698,51293,11044,191036,f
93227,50117,12281,155627,f
97787,50217,10439,158445,f
105584,52112,10942,168638,f
121954,48752,10255,180962,f
99393,48050,10006,157451,f
99410,52117,10626,162154,f
128173,51386,19504,199064,f
91868,51583,10130,153582,f
97066,52154,10975,160197,f
103396,55376,10285,169059,f
87602,48284,10105,145992,f
101301,51991,27933,181226,f
127282,70753,37792,235828,f
88600,53108,46648,188357,f
99378,54811,41682,195872,f
95466,73287,128048,296802,f
107777,62188,26985,196953,f
88936,53739,21479,164155,f
108211,52220,31976,192409,f
91643,51887,10834,154365,f
113685,62926,118461,295074,f
143355,79212,80265,302833,f
113870,54316,10807,178995,f
7997,19012,5903,32913,f
13220,18985,5629,37836,f
6836,23552,7038,37428,f
8759,22094,6401,37256,f
13648,21907,6305,41862,f
15084,27606,5862,48553,f
10189,27306,6095,43592,f
5250,31702,15514,52467,f
5495,26658,15479,47633,f
3862,6672,5069,15605,f
3709,7324,4414,15448,f
3346,9205,4919,17471,f
3148,6073,4998,14220,f
3078,7050,5354,15484,f
3500,9675,4777,17953,f
4656,9485,6019,20161,f
5741,11430,6410,23583,f
3420,11199,4496,19117,f
3006,9488,5151,17648,f
3545,8817,4891,17254,f
3724,14064,6258,24047,f
14319,12816,5186,32322,f
3704,13197,6173,23075,f
7543,12546,6120,26211,f
14941,12860,6007,33809,f
3536,14730,16352,34620,f
7889,13042,5280,26213,f
13003,16691,6590,36286,f
5210,15696,8835,29742,f
12076,15129,5708,32913,f
6054,13682,8233,27971,f
4564,15699,6716,26981,f
12503,14523,6438,33465,f
7681,14519,5609,27810,f
6312,19358,5219,30890,f
