substring|decode_duration|pg_column_size
0xb67a51|30572|25877
0xb67a51|19221|28029
0xb67a51|255|5573
0xaa1488|81688|41615
0xb67a51|91392|41721
0xaa1488|79960|41905
0xaa1488|80237|42109
0xb67a51|90304|42257
0xaa1488|80382|42630
0xacea6a|122452|42002
0xaa1488|80048|42810
0xb67a51|93577|43153
0xacea6a|24774|27171
0xb67a51|18925|31969
0xacea6a|25454|33888
0xb67a51|87669|36491
0xb67a51|85052|37307
0xacea6a|113481|37077
0xb67a51|89480|37833
0xacea6a|113128|37927
0xb67a51|89388|38196
0xb67a51|90743|38504
0xacea6a|205004|38443
0xb67a51|93539|39377
0xb67a51|93437|39859
0xacea6a|118479|39789
0xb67a51|93824|40186
0xb67a51|90425|40325
0xacea6a|122618|40251
0xb67a51|96071|41285
0xacea6a|130432|41378
0xacea6a|20837|24295
0xaa1488|80549|43214
0xaa1488|81660|43338
0xb67a51|95997|43520
0xaa1488|80667|43558
0xacea6a|120930|43207
0xaa1488|81395|44221
0xb67a51|93301|44387
0xaa1488|80842|44567
0xaa1488|83606|45286
0xacea6a|123300|44830
0xacea6a|14643|13277
0xb67a51|24440|13576
0xb67a51|9886|13959
0xacea6a|15111|13726
0xb67a51|10306|14994
0xacea6a|12320|14945
0xb67a51|11675|18760
0xb67a51|15777|24300
0xaa1488|91024|130072
0xaa1488|86150|130470
0xb67a51|14448|25423
0xacea6a|23573|25608
0xb67a51|18292|29857
0xb67a51|94504|40685
0xacea6a|127147|40654
0xb67a51|123291|107987
0xacea6a|161724|109415
0xb67a51|125592|111408
0xb67a51|128310|112123
0xacea6a|164386|112088
0xb67a51|126952|112280
0xb67a51|130719|116107
0xacea6a|167692|115894
0xb67a51|125926|116767
0xb67a51|128136|118544
0xacea6a|216336|118527
0xb67a51|147089|118706
0xb67a51|143370|127632
0xacea6a|186155|119676
0xb67a51|135924|128668
0xb67a51|180159|129180
0xaa1488|91991|129332
0xaa1488|86955|129620
0xaa1488|86019|129807
0xacea6a|214203|128769
0xb67a51|142095|129895
0xaa1488|90470|130872
0xb67a51|126352|130699
0xaa1488|101999|131216
0xb67a51|201344|131343
0xb67a51|138024|130316
0xaa1488|87320|130614
0xacea6a|214693|130275
0xaa1488|91659|131522
0xacea6a|131355|70152
0xb67a51|99484|70877
0xaa1488|98426|71898
0xacea6a|193349|71826
0xacea6a|6219|6626
0xb67a51|14221|8036
0xacea6a|11031|23801
0xb67a51|97825|40504
0xb67a51|95077|41471
0xacea6a|116627|37197
0xb67a51|98940|42081
0xacea6a|117004|42724
0xb67a51|90675|42818
0xb67a51|93040|43563
0xacea6a|118458|43718
0xb67a51|90661|44538
0xb67a51|89850|44818
0xacea6a|122617|44435
0xb67a51|89275|45462
0xacea6a|122341|45565
0xb67a51|94696|45645
0xacea6a|122742|45807
0xb67a51|97174|46144
0xacea6a|125170|46084
0xaa1488|81308|46668
0xb67a51|115588|69663
0xaa1488|81688|69869
0xaa1488|84177|70135
0xb67a51|93181|70246
0xacea6a|135214|69811
0xaa1488|83535|70455
0xaa1488|83327|70645
0xb67a51|104838|70425
0xaa1488|81623|71119
0xacea6a|132340|70798
0xb67a51|117259|71175
0xaa1488|82830|71367
0xaa1488|83172|71644
0xb67a51|175482|71706
0xaa1488|6010|287917
0xb67a51|101801|288648
0xaa1488|202924|387009
0xaa1488|413577|345686
0xaa1488|3140|54211
0xb67a51|105028|54297
0xacea6a|6537|7935
0xb67a51|15080|8244
0xb67a51|13222|9652
0xacea6a|617|9612
0xb67a51|3735|9843
0xacea6a|3267|11161
0xb67a51|3575|12111
0xacea6a|3878|12123
0xb67a51|7608|12955
0xb67a51|9479|14170
0xacea6a|4900|14145
0xb67a51|11864|18216
0xacea6a|6410|15073
0xb67a51|12319|19590
0xacea6a|7608|19761
0xaa1488|2841|29517
0xaa1488|1685|29663
0xb67a51|13456|29459
0xaa1488|847|29779
0xb67a51|11366|29600
0xb67a51|11633|19946
0xb67a51|9438|23354
0xacea6a|13479|23372
0xb67a51|9200|24813
0xacea6a|14198|25096
0xb67a51|9615|25288
0xb67a51|16164|26035
0xacea6a|13680|26038
0xb67a51|11014|26951
0xacea6a|17024|26658
0xb67a51|12545|27097
0xb67a51|10665|27727
0xacea6a|15217|27505
0xb67a51|11471|28145
0xacea6a|14419|28622
0xb67a51|14708|53258
0xb67a51|11934|53815
0xacea6a|19457|54650
0xb67a51|22518|54698
0xacea6a|18375|54650
0xacea6a|14039|29422
0xaa1488|1237|30903
0xaa1488|1608|31103
0xb67a51|15796|30914
0xaa1488|903|31357
0xacea6a|17313|31282
0xaa1488|1680|31510
0xb67a51|9971|31330
0xaa1488|1907|31703
0xaa1488|1793|32402
0xacea6a|20924|31724
0xb67a51|13246|32194
0xaa1488|2186|32549
0xacea6a|20701|32430
0xacea6a|151|2642
0xb67a51|242|3659
0xacea6a|186|3645
0xb67a51|182|4248
0xacea6a|213|4210
0xb67a51|298|4875
0xacea6a|226|4856
0xb67a51|269|5179
0xb67a51|12394|10924
0xacea6a|18109|45118
0xb67a51|21765|51680
0xacea6a|13693|51929
0xb67a51|11185|51977
0xacea6a|17573|52719
0xb67a51|100472|46754
0xaa1488|80565|47350
0xb67a51|11439|55465
0xb67a51|15241|56418
0xacea6a|22698|56977
0xb67a51|9352|44946
0xacea6a|21856|44460
0xb67a51|83872|45878
0xb67a51|88484|46460
0xacea6a|108543|46204
0xaa1488|81606|46917
0xacea6a|109180|46704
0xaa1488|81035|48214
0xb67a51|84349|48019
0xacea6a|109380|47989
0xaa1488|80351|48677
0xb67a51|87981|49032
0xaa1488|80400|49107
0xaa1488|80955|49947
0xaa1488|79784|52938
0xb67a51|93994|52742
0xacea6a|117150|52269
0xaa1488|80957|53085
0xb67a51|86540|52895
0xacea6a|159|2680
0xb67a51|142|3143
0xacea6a|190|3114
0xb67a51|188|3730
0xacea6a|185|3691
0xb67a51|191|4056
0xacea6a|200|3987
0xb67a51|213|6156
0xacea6a|281|13844
0xb67a51|16604|14253
0xacea6a|264|13844
0xb67a51|13951|15900
0xb67a51|16336|17893
0xacea6a|1675|17410
0xb67a51|6678|20262
0xacea6a|3244|21200
0xb67a51|8246|25151
0xacea6a|5748|25538
0xb67a51|8309|25931
0xb67a51|13617|25838
0xacea6a|10902|25612
0xb67a51|14268|26068
0xacea6a|10664|26265
0xb67a51|9172|26748
0xacea6a|14218|30689
0xb67a51|90773|37759
0xb67a51|86605|38556
0xacea6a|112518|38521
0xb67a51|92084|39600
0xb67a51|92883|40131
0xaa1488|80333|40318
0xacea6a|113850|39544
0xaa1488|80168|40865
0xaa1488|80350|41270
0xaa1488|77731|41432
0xb67a51|91073|41244
0xacea6a|114502|41246
0xaa1488|82310|105900
0xaa1488|79960|41728
0xb67a51|86334|42060
0xaa1488|81716|42246
0xaa1488|80956|42882
0xaa1488|79251|43190
0xb67a51|85757|43022
0xacea6a|117504|43014
0xaa1488|80817|43747
0xaa1488|80473|43891
0xb67a51|84830|43995
0xaa1488|80579|44190
0xaa1488|82331|44345
0xacea6a|7525|5002
0xacea6a|1147|5526
0xacea6a|1577|6846
0xacea6a|4215|9390
0xb67a51|14092|10693
0xacea6a|4665|10662
0xb67a51|6412|12079
0xacea6a|82984|12715
0xb67a51|97954|93937
0xb67a51|92836|96416
0xacea6a|121824|96007
0xb67a51|90358|96697
0xacea6a|128352|96649
0xb67a51|90869|97403
0xb67a51|99811|98189
0xacea6a|134715|97355
0xb67a51|93643|99637
0xb67a51|94692|99998
0xacea6a|135179|99950
0xb67a51|92422|100782
0xacea6a|133278|99950
0xb67a51|95913|101143
0xb67a51|100540|101504
0xacea6a|129652|101456
0xaa1488|81876|102529
0xb67a51|94006|103737
0xaa1488|83117|104497
0xaa1488|81736|105071
0xacea6a|128843|103233
0xb67a51|109440|104884
0xacea6a|189162|104836
0xb67a51|109528|105713
0xacea6a|132359|109444
0xaa1488|82747|111491
0xacea6a|1161|5422
0xb67a51|364|6120
0xacea6a|4024|9764
0xb67a51|7863|10358
0xaa1488|82148|106261
0xaa1488|82983|106882
0xb67a51|99838|107250
0xaa1488|80757|107437
0xacea6a|127009|105752
0xaa1488|82017|108942
0xb67a51|91980|109228
0xaa1488|80332|109415
0xaa1488|82192|110152
0xb67a51|97670|111304
0xacea6a|3770|10131
0xb67a51|19203|13372
0xacea6a|3274|10645
0xb67a51|7748|14837
0xb67a51|8659|15528
0xacea6a|5709|15503
0xb67a51|9272|16361
0xacea6a|8054|16244
0xb67a51|10422|17133
0xacea6a|5987|17857
0xb67a51|9680|18409
0xb67a51|10848|18594
0xacea6a|6976|18843
0xb67a51|11349|19372
0xacea6a|8767|19704
0xb67a51|12756|19724
0xb67a51|8194|20977
0xacea6a|9617|20823
0xb67a51|8088|24372
0xacea6a|10554|24744
0xb67a51|85899|36886
0xb67a51|145238|283078
0xacea6a|224774|283030
0xaa1488|88510|284183
0xb67a51|5074|287730
0xaa1488|107666|288835
0xaa1488|6373|291352
0xaa1488|102574|291713
0xb67a51|171191|291526
0xaa1488|89413|292730
0xb67a51|208677|283996
0xaa1488|95378|284544
0xb67a51|159510|284357
0xaa1488|88634|284905
0xaa1488|91078|285788
0xacea6a|214958|284670
0xaa1488|103857|286555
0xb67a51|131691|287160
0xaa1488|96133|287347
0xaa1488|105210|287556
0xacea6a|211000|288239
0xaa1488|100906|289266
0xb67a51|96336|76233
0xaa1488|150263|57346
0xb67a51|98598|76595
0xacea6a|133262|76837
0xb67a51|99543|76757
0xaa1488|129525|57559
0xb67a51|96080|76954
0xaa1488|125667|57836
0xaa1488|91539|293614
0xacea6a|202109|293018
0xacea6a|156834|98623
0xb67a51|111844|98790
0xb67a51|98766|100429
0xacea6a|148915|99942
0xb67a51|98689|110127
0xacea6a|154058|110319
0xb67a51|105883|134189
0xb67a51|99968|134387
0xb67a51|114918|129810
0xacea6a|144178|129544
0xb67a51|97987|132133
0xb67a51|119535|132789
0xacea6a|134158|132521
0xb67a51|112046|133502
0xacea6a|142823|133252
0xb67a51|113283|87358
0xb67a51|104116|87573
0xacea6a|137324|87618
0xacea6a|163110|134095
0xacea6a|178632|134863
0xb67a51|123303|137531
0xb67a51|118380|138766
0xacea6a|179658|138536
0xb67a51|108627|140816
0xb67a51|131087|148853
0xacea6a|190212|148883
0xb67a51|127185|149328
0xaa1488|88399|149507
0xaa1488|86491|149899
0xb67a51|115184|149724
0xacea6a|102977|149424
0xb67a51|132980|151264
0xaa1488|90384|151470
0xacea6a|160901|150752
0xaa1488|92369|153764
0xacea6a|135618|85732
0xb67a51|115703|86310
0xacea6a|140693|86356
0xb67a51|112102|86955
0xacea6a|143663|86987
0xacea6a|140761|86987
0xaa1488|134458|99551
0xaa1488|81610|93177
0xb67a51|94765|92858
0xb67a51|103619|93097
0xaa1488|83740|93399
0xacea6a|149909|93110
0xaa1488|86859|93775
0xb67a51|103784|87795
0xb67a51|98357|88890
0xacea6a|121848|89559
0xb67a51|103200|93302
0xb67a51|105811|95346
0xacea6a|134377|95397
0xb67a51|100915|98091
0xb67a51|95220|98284
0xacea6a|128422|98138
0xb67a51|106065|99054
0xaa1488|87990|99233
0xb67a51|102175|99439
0xaa1488|86489|99508
0xacea6a|137218|99402
0xaa1488|86298|99580
0xacea6a|162443|99139
0xaa1488|89880|100524
0xb67a51|106248|100210
0xb67a51|110386|100457
0xacea6a|9060|14773
0xb67a51|123834|99279
0xacea6a|126611|76038
0xb67a51|96752|73994
0xacea6a|134081|74790
0xb67a51|107260|77216
0xaa1488|83575|73609
0xaa1488|73602|73904
0xb67a51|91930|77678
0xacea6a|134378|77339
0xaa1488|84208|75518
0xb67a51|14029|13425
0xb67a51|9294|13938
0xacea6a|4678|14942
0xb67a51|10174|15776
0xacea6a|5145|16510
0xb67a51|12438|18753
0xacea6a|8141|18954
0xb67a51|8437|19018
0xb67a51|81800|27805
0xacea6a|108183|27770
0xb67a51|88577|58519
0xacea6a|120240|58957
0xb67a51|90695|59717
0xb67a51|92534|62664
0xacea6a|121157|62253
0xb67a51|92302|68072
0xb67a51|92825|68523
0xacea6a|118816|68584
0xb67a51|88956|70249
0xacea6a|123882|70308
0xb67a51|96172|71251
0xb67a51|95002|72151
0xacea6a|122748|72492
0xb67a51|91041|72955
0xb67a51|96215|75913
0xaa1488|88055|71222
0xb67a51|93890|74705
0xaa1488|82437|71590
