received_at|value
2023-02-0514:37:59.606719|9184618398825392
2023-02-0514:55:46.95063|19061350224482719
2023-02-0509:47:47.992936|4612305177586967
2023-02-0519:18:47.707167|6774887558015691
2023-02-0510:17:47.538228|37905312944690642
2023-02-0517:21:47.775064|5222518385082640
2023-02-0517:22:35.821343|11006964695118861
2023-02-0517:25:35.537409|19339623145278024
2023-02-0519:53:23.521215|31659642907030150
2023-02-0520:28:23.351458|13394651068611809
2023-02-0518:16:59.59002|8586564929533310
2023-02-0523:14:11.819125|5837940060242697
2023-02-0521:01:35.135558|37453495964955921
2023-02-0521:09:35.537075|130274809817032547
2023-02-0521:13:59.67521|36948673004045462
2023-02-0521:17:11.028761|29140466742088568
2023-02-0523:24:47.997593|3151232597143341
2023-02-0523:28:35.078715|121420718867262191
2023-02-0523:40:10.128502|2209200223262677
2023-02-0521:35:34.434651|22388558685808708
2023-02-0600:09:59.510683|13079521009880850
2023-02-0521:42:59.164796|39176094973522586
2023-02-0522:01:11.527735|2793578757139420
2023-02-0601:52:12.199301|7307811294697301
2023-02-0602:16:12.004924|3444199828390454
2023-02-0600:36:36.263778|4074558842124821
2023-02-0602:16:24.142903|7416767073004206
2023-02-0602:35:23.501191|24091767753725584
2023-02-0602:56:23.812085|12173780363955370
2023-02-0605:16:35.537788|29593390667696677
2023-02-0605:28:35.941431|12865872578978172
2023-02-0605:48:59.491817|20738934583809987
2023-02-0606:03:59.311884|6853787109868039
2023-02-0604:18:11.487239|8545865848304146
2023-02-0606:18:11.228887|9647067967787718
2023-02-0606:35:23.655731|29399377160323908
2023-02-0608:51:11.713048|23048030296153422
2023-02-0607:47:12.023143|36378394231699878
2023-02-0608:15:58.543337|28513036700387445
2023-02-0609:23:12.074452|63137928847726944
2023-02-0609:33:23.809288|11527371492614005
2023-02-0612:33:47.275039|29343610956627247
2023-02-0515:19:12.401632|3438443341111743
2023-02-0516:12:23.344566|9591143664177681
2023-02-0611:53:23.565368|30948208876132114
2023-02-0614:53:29.42352|348295417321077920
2023-02-0613:33:24.152335|27842255270930707
2023-02-0613:52:59.896554|84410485856054976
2023-02-0617:40:11.918153|15301139825213624
2023-02-0617:46:59.547703|19925668270263622
2023-02-0618:01:12.118101|32801415847063191
2023-02-0618:25:23.878917|57429659090953209
2023-02-0618:25:24.076023|57429659090953209
2023-02-0618:42:35.851487|23808393272435019
2023-02-0618:49:48.082731|14286974488999766
2023-02-0618:49:48.330045|14286974488999766
2023-02-0618:01:12.457222|32801415847063191
2023-02-0620:36:11.67692|28828103836354897
2023-02-0619:57:21.397077|16040819483346104
2023-02-0622:32:36.144888|7196527028224669
2023-02-0620:16:47.019137|25094322096734363
2023-02-0622:08:47.305908|34149749548841805
2023-02-0622:08:47.461257|34149749548841805
2023-02-0622:13:35.862054|28677119502052430
2023-02-0622:38:58.971071|3366345069066401
2023-02-0622:38:59.137405|3366345069066401
2023-02-0622:59:12.036119|78860946538533817
2023-02-0622:59:12.158198|78860946538533817
2023-02-0623:08:47.665544|2449404259791714
2023-02-0623:38:11.720517|5602162076741974
2023-02-0623:38:11.817226|5602162076741974
2023-02-0700:15:11.755123|26342383011162016
