inserted_at,received_at
00:27:20.49274,00:27:20.302182
00:27:21.335036,00:27:21.152866
00:27:23.907815,00:27:23.71419
00:29:09.876407,00:29:09.498647
00:29:00.812077,00:29:00.780369
00:29:01.513833,00:29:01.469559
00:29:02.207696,00:29:02.174733
00:29:02.928496,00:29:02.884091
00:29:03.714836,00:29:03.61163
00:29:04.462271,00:29:04.354375
00:29:05.231502,00:29:05.137882
00:29:06.035865,00:29:05.876402
00:29:06.919911,00:29:06.684234
00:29:07.809489,00:29:07.589996
00:29:08.819721,00:29:08.514588
00:29:11.43179,00:29:10.597992
00:29:12.6104,00:29:12.138248
00:32:12.781163,00:32:12.709897
00:32:13.527584,00:32:13.45776
00:32:14.308269,00:32:14.168258
00:32:15.120715,00:32:14.950881
00:32:15.926154,00:32:15.761891
00:32:16.710807,00:32:16.597207
00:32:17.582784,00:32:17.387036
00:32:18.38541,00:32:18.246632
00:32:19.195323,00:32:19.040359
00:32:20.056936,00:32:19.857168
00:32:20.933534,00:32:20.723281
00:32:21.805516,00:32:21.618071
00:32:22.654726,00:32:22.478693
00:32:23.503749,00:32:23.33154
00:32:24.354831,00:32:24.179599
00:34:54.076372,00:34:54.053543
00:34:49.556167,00:34:49.530641
00:34:50.195539,00:34:50.177496
00:34:50.836981,00:34:50.818925
00:34:51.482553,00:34:51.463506
00:34:52.127827,00:34:52.106722
00:34:52.778006,00:34:52.75328
00:34:53.42539,00:34:53.402867
00:34:56.728337,00:34:56.693452
00:34:54.727561,00:34:54.699863
00:34:55.397047,00:34:55.358127
00:34:56.055787,00:34:56.027465
00:34:58.746133,00:34:58.706607
00:34:59.425511,00:34:59.387438
00:34:57.393906,00:34:57.360582
00:34:58.067392,00:34:58.032068
00:35:00.115466,00:35:00.074598
00:35:00.804072,00:35:00.761383
00:36:38.140965,00:36:38.097482
00:36:38.809847,00:36:38.774029
00:36:36.802129,00:36:36.758683
00:36:37.471992,00:36:37.436733
00:36:43.095345,00:36:42.948871
00:36:43.891019,00:36:43.740727
00:36:44.696073,00:36:44.542044
00:36:39.476497,00:36:39.441253
00:36:40.1494,00:36:40.110569
00:36:40.828881,00:36:40.787147
00:36:41.515567,00:36:41.46777
00:36:42.305173,00:36:42.159855
00:36:48.760454,00:36:48.598432
00:36:45.522236,00:36:45.357021
00:36:46.330794,00:36:46.176211
00:36:47.133011,00:36:46.977127
00:36:47.943353,00:36:47.780422
00:37:48.778351,00:37:48.759935
00:37:49.426061,00:37:49.404322
00:37:50.078795,00:37:50.052813
00:37:50.733829,00:37:50.706611
00:37:52.701173,00:37:52.674808
00:37:51.388377,00:37:51.361611
00:37:52.043914,00:37:52.018343
00:37:53.364208,00:37:53.335135
00:37:54.02958,00:37:53.999232
00:37:54.717989,00:37:54.672914
00:38:00.305667,00:38:00.257853
00:37:55.411805,00:37:55.365127
00:37:56.115879,00:37:56.058005
00:37:56.811513,00:37:56.765158
00:37:57.509958,00:37:57.458674
00:37:58.21119,00:37:58.157214
00:37:58.905229,00:37:58.855644
00:37:59.606168,00:37:59.556548
00:38:02.328096,00:38:02.306283
00:38:08.374768,00:38:08.331244
00:38:09.055946,00:38:09.012219
00:38:09.737813,00:38:09.696301
00:38:02.985359,00:38:02.95976
00:38:03.644564,00:38:03.617735
00:38:04.315733,00:38:04.285329
00:38:04.976403,00:38:04.947639
00:38:05.639755,00:38:05.609718
00:38:06.310992,00:38:06.270662
00:38:06.986586,00:38:06.951102
00:38:07.662886,00:38:07.623071
00:38:10.423326,00:38:10.377372
00:38:11.107395,00:38:11.061552
00:38:11.795164,00:38:11.748976
00:38:12.499958,00:38:12.447645
00:38:13.207456,00:38:13.15393
00:38:15.535138,00:38:15.51164
00:38:13.610753,00:38:13.59605
00:38:14.242856,00:38:14.227244
00:38:14.889707,00:38:14.864882
00:38:16.83168,00:38:16.809863
00:38:17.479632,00:38:17.457386
00:38:16.185558,00:38:16.159702
00:38:18.78424,00:38:18.754373
00:38:19.441037,00:38:19.410814
00:38:23.466356,00:38:23.427812
00:38:18.129754,00:38:18.105346
00:38:20.126492,00:38:20.06893
00:38:20.7876,00:38:20.75481
00:38:21.45224,00:38:21.419284
00:38:22.124778,00:38:22.086773
00:38:22.795646,00:38:22.756166
00:38:24.136439,00:38:24.100587
00:38:24.80611,00:38:24.765688
00:41:13.181285,00:41:13.157101
00:41:13.838969,00:41:13.804803
00:41:14.671424,00:41:14.475601
00:41:15.57035,00:41:15.344842
00:41:16.494304,00:41:16.228547
00:41:18.60027,00:41:18.121236
00:41:17.416702,00:41:17.155935
00:41:19.506797,00:41:19.255936
00:41:23.218313,00:41:22.964497
00:41:20.433564,00:41:20.173776
00:41:21.35424,00:41:21.092876
00:41:22.298097,00:41:22.014447
00:41:24.143845,00:41:23.898396
00:43:37.827435,00:43:37.804286
00:43:38.485941,00:43:38.464348
00:43:39.255174,00:43:39.112787
00:43:40.084553,00:43:39.904646
00:43:40.918616,00:43:40.736497
00:43:41.898543,00:43:41.568107
00:43:42.730213,00:43:42.553604
00:43:43.552898,00:43:43.380594
00:43:44.419768,00:43:44.214863
00:43:45.263622,00:43:45.0728
00:43:46.10525,00:43:45.919321
00:43:46.959857,00:43:46.7631
00:43:47.80123,00:43:47.613649
00:43:48.65133,00:43:48.459441
00:43:49.51735,00:43:49.320793
00:44:54.952577,00:44:54.926746
00:44:55.607354,00:44:55.583187
00:44:56.276117,00:44:56.246744
00:44:49.763025,00:44:49.750468
00:44:50.401643,00:44:50.38577
00:44:51.03621,00:44:51.021207
00:44:51.678134,00:44:51.660263
00:44:52.324968,00:44:52.303395
00:44:52.976,00:44:52.951432
00:44:53.628418,00:44:53.60425
00:44:54.296193,00:44:54.262204
00:44:56.936259,00:44:56.909734
00:44:57.604093,00:44:57.572145
00:44:58.270906,00:44:58.238929
00:44:58.93738,00:44:58.906647
00:44:59.612357,00:44:59.575408
00:45:00.281357,00:45:00.246899
00:45:51.725217,00:45:51.541077
00:45:52.580154,00:45:52.393723
00:45:50.063574,00:45:49.873555
00:45:50.884853,00:45:50.707639
00:45:53.43081,00:45:53.241826
00:45:54.294449,00:45:54.097472
00:45:55.165965,00:45:54.966342
00:45:56.049099,00:45:55.844501
00:45:56.941504,00:45:56.732404
00:45:57.824236,00:45:57.624855
00:45:58.709825,00:45:58.507033
00:45:59.602626,00:45:59.396401
00:46:00.500507,00:46:00.287642
00:46:01.410501,00:46:01.192892
00:48:16.348905,00:48:16.201041
00:48:19.461857,00:48:19.269824
00:48:12.977132,00:48:12.953751
00:48:13.624724,00:48:13.610398
00:48:14.270983,00:48:14.255591
00:48:14.921654,00:48:14.903517
00:48:15.575346,00:48:15.557683
00:48:17.167041,00:48:16.988172
00:48:17.843934,00:48:17.795367
00:48:18.635092,00:48:18.474341
00:48:20.288772,00:48:20.128733
00:48:21.097806,00:48:20.924727
00:48:21.850163,00:48:21.730604
00:48:22.565523,00:48:22.483277
00:48:23.283533,00:48:23.198629
00:48:24.01409,00:48:23.91945
00:48:24.747801,00:48:24.653114
00:49:48.669152,00:49:48.608777
00:49:49.372029,00:49:49.307821
00:49:50.114216,00:49:50.023006
00:49:50.830444,00:49:50.769174
00:49:51.567717,00:49:51.484902
00:49:52.316942,00:49:52.221691
00:49:53.054328,00:49:52.968116
00:49:53.813746,00:49:53.708851
00:49:54.564499,00:49:54.467285
00:49:55.322613,00:49:55.22385
00:49:56.056708,00:49:55.982701
00:49:56.824937,00:49:56.713346
00:49:57.712006,00:49:57.485121
00:49:58.844484,00:49:58.395986
00:50:00.041988,00:49:59.523175
00:50:07.734047,00:50:07.674754
00:50:02.442073,00:50:02.424746
00:50:03.087535,00:50:03.069349
00:50:03.736537,00:50:03.718834
00:50:04.378895,00:50:04.359984
00:50:05.051915,00:50:05.003297
00:50:05.722924,00:50:05.682096
00:50:06.377816,00:50:06.348923
00:50:07.043901,00:50:07.010318
00:50:08.45329,00:50:08.393993
00:50:09.169226,00:50:09.097416
00:50:09.869605,00:50:09.806165
00:50:10.581084,00:50:10.509702
00:50:11.292498,00:50:11.221581
00:50:11.980079,00:50:11.933928
00:50:12.667011,00:50:12.621394
00:50:24.730713,00:50:24.71391
00:50:25.375011,00:50:25.354984
00:50:26.018813,00:50:26.002584
00:50:26.660937,00:50:26.645284
00:50:27.309396,00:50:27.283263
00:50:27.958206,00:50:27.931966
00:50:28.621604,00:50:28.582215
00:50:29.312487,00:50:29.248971
00:50:29.983813,00:50:29.941808
00:50:31.199814,00:50:30.700695
00:50:32.109629,00:50:31.996873
00:50:33.907761,00:50:33.697063
00:50:34.811844,00:50:34.697072
00:50:35.540407,00:50:35.452727
00:50:36.245749,00:50:36.184522
00:50:32.920958,00:50:32.743927
00:50:49.369797,00:50:49.280235
00:50:48.634835,00:50:48.544668
00:50:50.85862,00:50:50.760001
00:50:52.276846,00:50:52.214891
00:50:53.020729,00:50:52.924661
00:50:50.112053,00:50:50.016884
