inserted_at,received_at
01:22:34.299996,01:22:34.254164
01:22:35.117497,01:22:34.955569
01:26:10.085453,01:26:09.884649
01:26:00.808025,01:26:00.74139
01:26:01.640175,01:26:01.474845
01:26:02.454946,01:26:02.300262
01:26:03.295082,01:26:03.111365
01:26:04.113234,01:26:03.951476
01:26:04.958163,01:26:04.780796
01:26:05.777979,01:26:05.617554
01:26:06.633484,01:26:06.447894
01:26:07.466805,01:26:07.301376
01:26:08.341946,01:26:08.143664
01:26:09.212655,01:26:09.023689
01:26:10.935426,01:26:10.761507
01:26:11.839881,01:26:11.623008
01:26:12.70403,01:26:12.522245
01:26:51.045728,01:26:50.933074
01:26:51.966077,01:26:51.74975
01:26:52.655386,01:26:52.607011
01:26:53.333572,01:26:53.292385
01:26:54.025171,01:26:53.977031
01:26:54.706841,01:26:54.666334
01:26:55.434397,01:26:55.354967
01:26:56.127913,01:26:56.080073
01:26:56.968632,01:26:56.785775
01:26:57.81182,01:26:57.62311
01:26:58.658045,01:26:58.479675
01:26:59.477596,01:26:59.317344
01:27:00.329106,01:27:00.146198
01:27:14.118627,01:27:14.038884
01:27:14.925817,01:27:14.825838
01:27:15.705266,01:27:15.632032
01:27:16.536373,01:27:16.416523
01:27:17.481755,01:27:17.270692
01:27:18.473986,01:27:18.27523
01:27:19.372465,01:27:19.181691
01:27:20.303172,01:27:20.084879
01:27:21.216203,01:27:21.022225
01:27:22.145895,01:27:21.925741
01:27:23.050381,01:27:22.856431
01:27:23.767395,01:27:23.704647
01:27:24.482216,01:27:24.411986
01:28:35.111017,01:28:35.076864
01:28:35.801223,01:28:35.749578
01:28:36.4902,01:28:36.446897
01:28:25.045023,01:28:25.031659
01:28:25.674981,01:28:25.661459
01:28:26.312492,01:28:26.296412
01:28:26.973409,01:28:26.949481
01:28:27.627023,01:28:27.600715
01:28:28.290199,01:28:28.264833
01:28:28.958058,01:28:28.927154
01:28:29.61732,01:28:29.591888
01:28:30.326805,01:28:30.297095
01:28:30.989518,01:28:30.961765
01:28:31.669365,01:28:31.633235
01:28:32.383963,01:28:32.345602
01:28:33.049032,01:28:33.01921
01:28:33.735823,01:28:33.695701
01:28:34.440204,01:28:34.370668
01:30:36.588336,01:30:36.56732
01:30:37.227631,01:30:37.213997
01:30:37.871836,01:30:37.848327
01:30:38.547803,01:30:38.508055
01:30:39.21096,01:30:39.169383
01:30:39.875243,01:30:39.833667
01:30:42.57896,01:30:42.523317
01:30:43.2522,01:30:43.203779
01:30:43.933944,01:30:43.875829
01:30:40.549535,01:30:40.500131
01:30:41.223648,01:30:41.173077
01:30:41.89689,01:30:41.846688
01:30:44.619059,01:30:44.560039
01:30:45.314842,01:30:45.245497
01:30:46.007776,01:30:45.938597
01:30:46.706811,01:30:46.637126
01:30:47.434448,01:30:47.342561
01:30:48.171207,01:30:48.073498
