decode_duration|pg_column_size
84745|54377
91551|54326
36945|54229
84549|51913
78800|52716
91052|52658
80371|52856
82927|53044
81779|56370
164835|89872
84775|90557
111470|90551
82657|90930
86128|54559
104368|54340
85032|54379
17294|17824
21085|19081
50177|19000
5251|20664
29951|21010
75541|26676
26079|27557
25627|27356
13280|29441
84947|54819
137205|54362
91484|55517
180645|55917
84896|55890
111469|56864
134732|56534
85206|57807
91218|60368
144781|58924
95988|61053
96975|62042
139106|61737
129809|63159
97755|64079
153757|64026
89407|64601
92598|65336
161156|65294
90182|67583
85007|67607
81115|67956
91936|68173
180069|67691
81706|68738
86031|66243
81128|66271
77666|64279
90627|63035
163211|62822
78492|63065
85607|61236
89013|58753
86086|58796
83094|57567
139801|56224
85389|56312
82819|56452
174785|83986
106417|84538
98004|87075
156232|87244
91167|88243
105786|88958
165754|88929
95466|89515
91903|90569
151117|89800
101803|93431
95300|93903
175189|93411
99083|94970
91109|97011
289296|96533
93851|94921
92897|91216
153903|93644
107968|88782
98668|87815
160659|87880
92708|88906
90149|89490
154135|89263
92545|89662
82964|89871
81925|89713
96132|89912
323660|83072
82291|91121
96598|91112
86001|91793
151858|91719
89202|92157
102018|92166
83981|92361
82768|92266
90203|89189
150700|89100
87328|89324
95035|89333
82645|89521
490131|60811
181228|62631
167198|64038
115498|64202
481229|64168
118873|65083
93048|66758
262910|65995
149620|67204
179910|67532
503050|67154
181575|69091
179436|72686
295511|72131
118813|72818
124481|76002
307858|75789
131353|76649
122667|77439
210566|77732
139774|78643
127320|81445
141122|81422
125869|81606
150153|82576
168066|82561
88426|83320
131158|83091
202498|83883
95028|85245
99682|85438
90208|85577
76668|85335
83671|85814
129934|85593
83295|86059
83630|85853
100481|83827
495432|97766
291094|37531
121515|38386
46923|38656
118487|39362
92921|44243
46757|46445
109993|48915
48260|49202
9954|84398
27428|85028
100543|72237
82440|72946
215232|94157
118482|95956
201783|97437
107798|192406
91404|207262
100915|87765
84180|86365
85194|86845
329279|86102
187100|43181
142060|43627
98842|45678
198812|44552
90299|46333
140261|46486
209152|46317
132925|49619
89252|55234
217561|49447
82583|56435
92012|56820
388413|56644
151270|69952
390595|57025
103219|70345
258243|70504
479462|70096
141407|71353
208457|71102
119670|71756
189750|72037
300388|71798
132373|72777
81666|73118
87436|72953
487164|72558
81145|75081
141366|74917
179866|72720
81813|76250
123033|76092
180851|75875
85174|76596
1454|2177
398|2862
5151|3129
266|4281
11023|6437
6684|6261
13126|8089
1639|7515
10675|8448
4215|8628
17431|8894
13310|12007
13275|11961
11354|13061
6383|13368
4897|13743
6261|14122
7078|14154
10138|14686
21312|14673
7567|16128
28862|15402
10210|16580
20441|16713
154084|85887
85867|86162
165112|86148
203443|86479
198206|88830
170267|88803
105139|92342
76564|92846
85647|93343
86455|93135
219659|92768
87645|93517
235324|93299
98758|93946
163632|93564
87910|94371
102169|94525
88802|94940
133022|94732
87555|95331
88044|95766
150896|94733
174039|97635
206429|43909
109023|45387
48177|45346
106227|45648
106264|47492
49549|49700
112299|49243
106989|50040
58974|61422
124120|61451
64446|61987
86022|62412
112532|62207
56057|62328
87085|62529
101739|62363
108089|50737
53209|50738
116267|58486
113338|58988
392880|58785
119902|59696
112453|60153
238134|60270
112392|60662
98776|60808
82671|60620
112842|61172
86458|61638
108179|62875
103127|63048
95666|178255
213853|422734
153265|241677
112970|241913
12011|242370
82569|62746
115461|62546
60360|62514
194080|62843
81267|47492
13409|47269
82767|47650
92186|47461
80925|47801
24287|47889
12530|17404
9389|17600
10226|19619
9681|19564
9498|25489
11377|24326
96633|32638
15969|32601
85766|33329
27778|34998
86694|35027
85135|35273
22918|35234
91593|35992
22347|42430
98308|42786
21229|42750
22735|42919
91876|43165
25134|46740
90933|46978
92406|47302
104078|129316
87206|73864
80602|63984
80933|64132
175922|88848
97189|74533
83687|87884
244367|112595
79829|48104
92568|47920
82386|63083
78639|81947
81719|82564
104838|81775
61589|82140
91316|94504
84147|94671
113700|94667
93273|109363
103444|164216
201571|192107
203088|191857
118895|74182
105513|74705
95057|75114
128738|75103
181605|76277
122837|76411
72675|202300
128988|203453
75716|206263
131810|207585
112359|211291
81056|211985
133867|212418
79924|213386
132552|260764
119523|261168
174415|261862
134389|261332
147223|262085
286297|262914
138420|262735
137992|263212
73315|263901
120039|264121
