received_at|inserted_at|value
2023-02-1621:06:00.919135|2023-02-1621:06:01.085221|67281484127024276
2023-02-1621:06:01.328595|2023-02-1621:06:01.470227|66590004715655076
2023-02-1621:06:01.73327|2023-02-1621:06:01.896883|67503733936035076
2023-02-1621:06:01.82691|2023-02-1621:06:01.951666|66644159215655076
2023-02-1621:06:02.324864|2023-02-1621:06:02.432912|66966498715655076
2023-02-1621:06:02.575295|2023-02-1621:06:02.887316|67880227936035076
2023-02-1621:06:02.830306|2023-02-1621:06:02.956232|67034097715655076
2023-02-1621:06:03.325972|2023-02-1621:06:03.434639|67384154215655076
2023-02-1621:06:03.539893|2023-02-1621:06:03.702002|67975096021179076
2023-02-1621:06:03.825546|2023-02-1621:06:03.935924|67886663800799076
2023-02-1621:06:04.332872|2023-02-1621:06:04.448642|68705930662738916
2023-02-1621:06:04.356904|2023-02-1621:06:04.540195|69608810383118916
2023-02-1621:06:04.831164|2023-02-1621:06:04.963559|70215254826526916
2023-02-1621:06:05.194136|2023-02-1621:06:05.376366|71154449177151540
2023-02-1621:06:05.337045|2023-02-1621:06:05.446045|70251569456771540
2023-02-1621:06:06.029934|2023-02-1621:06:06.205161|71154449177151540
2023-02-1621:06:06.334783|2023-02-1621:06:06.471395|70321068956771540
2023-02-1621:06:06.860207|2023-02-1621:06:07.032001|71223948677151540
2023-02-1621:06:07.332298|2023-02-1621:06:07.467407|70629356212561716
2023-02-1621:06:07.689892|2023-02-1621:06:07.835445|71532235932941716
2023-02-1621:06:07.851514|2023-02-1621:06:07.962585|70696955212561716
2023-02-1621:06:08.400686|2023-02-1621:06:08.58576|71587286212561716
2023-02-1621:06:08.511435|2023-02-1621:06:08.785346|72286477932941716
2023-02-1621:06:08.883159|2023-02-1621:06:09.083451|71778422212561716
2023-02-1621:06:09.534086|2023-02-1621:06:09.699045|72681301932941716
2023-02-1621:06:09.835201|2023-02-1621:06:09.958519|72241930344412948
2023-02-1621:06:10.129369|2023-02-1621:06:10.279911|72380314166692948
2023-02-1621:06:10.2555|2023-02-1621:06:10.412061|72393688211509588
2023-02-1621:06:10.335873|2023-02-1621:06:10.450443|72288562389229588
2023-02-1621:06:10.359974|2023-02-1621:06:10.536822|73191442109609588
2023-02-1621:06:11.142909|2023-02-1621:06:11.297121|72630652211509588
2023-02-1621:06:11.200076|2023-02-1621:06:11.397247|73428406109609588
2023-02-1621:06:11.27131|2023-02-1621:06:11.438957|72749011820405568
2023-02-1621:06:11.342794|2023-02-1621:06:11.501455|72643885998125568
2023-02-1621:06:11.662583|2023-02-1621:06:11.812452|72787938320405568
2023-02-1621:06:11.849658|2023-02-1621:06:11.978951|72682812498125568
2023-02-1621:06:11.923302|2023-02-1621:06:12.0789|73037365820405568
2023-02-1621:06:12.05889|2023-02-1621:06:12.231537|73835119718505568
2023-02-1621:06:12.193718|2023-02-1621:06:12.371116|73049334694433056
2023-02-1621:06:12.334526|2023-02-1621:06:12.449493|72944208872153056
2023-02-1621:06:12.591273|2023-02-1621:06:12.747068|73694028694433056
