     builder_pubkey                                           |                             block_hash                             |                                                                                 submit_block_sim_error                                                                                 |                get_payload_sim_error                 |        inserted_at         |  slot   
 0xacea6a | 0x12e282dd4a5cc3dc2fb43dd4c8d551bd2622c5136d88603c9b31776021e63236 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-12 17:53:48.990608 | 4976369
 0xacea6a | 0x2981443255f06366126055de2f033699c9871b2002b24a59c6a5f2f76792c30f |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-12 21:56:48.964592 | 4977584
 0xacea6a | 0x5b7a309f88ef13c1a5ec87fbeac32455446ae1825694db918c5878afb5ef6cbd |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-12 22:29:01.300474 | 4977745
 0xacea6a | 0x8c1aebb7a290c50fe4dc9d2221871d791051c9e5a4865f562270357572d93952 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:15.576927 | 4982652
 0xacea6a | 0xef17e8fc0ff9a0a062bf721b6bc0afed1b83c81d917938aa6d9a0e56af6d1fa0 |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-13 18:03:36.944482 | 4983618
 0xacea6a | 0xacd70b38ead2a242c3a82d1d12675b93ed62a4a14666ae2099c2be0549a499b7 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 21:41:02.483501 | 4984705
 0xacea6a | 0x2602fc135359ddf06d78cb3292fa3e34760d6ce7e465dbba8e1e3eb661804c7f | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-11 20:24:57.21318  | 4969925
 0xacea6a | 0xcc53251a12bc01f5826acae7b24dcc7f31e47f65d1bdca0981b6de418ca62e41 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-12 01:18:49.297811 | 4971394
 0xacea6a | 0xe3e6e0e0671de94cc7f63e5ebb8b955b9c213f5427be393c6222d5cc62dc1791 |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-12 12:50:01.438309 | 4974850
 0xacea6a | 0xf9d723d2d55d2dc2100484d023d7d64eebd6e505d528a5e7d1b55935990c4463 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-12 19:15:25.430486 | 4976778
 0xacea6a | 0x7542fddd96b7c39df717c9c7cd7d81d0a7275ec3dd4552fab1a39cc378d53ffd | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-12 19:15:31.124691 | 4976778
 0xacea6a | 0x40943e9cc671bb9573009f144306ef5add83d3343973779be374199531455f2c | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-12 19:15:32.128    | 4976778
 0xacea6a | 0x8aa1fac38299110b4670334701b86533fa65d0352ce9c332b85e438b5a8fe51e | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-12 19:15:33.226312 | 4976778
 0xacea6a | 0x10cadb185e132d84ca4fec06c3ebb03ffd47a8f88f0b1dc3b7c046618a74e229 |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-13 04:19:49.824479 | 4979499
 0xacea6a | 0x47bdfbd85ae3dbe1027430a6da49bbfdfccd34bb05f0c7923a18c22011e3d1fd | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:17.177997 | 4982652
 0xacea6a | 0x028ae59091c3787a06eec930413b10bee69ea9fc5430734e3accd8d58682a98b | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:18.40045  | 4982652
 0x8d40be | 0x14c4cecdecce07772d090d47466dda3243e9184a43ee038c18e4e1675f3ad83c |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-13 21:29:04.265465 | 4984645
 0xacea6a | 0x064983f4259be8bb267c09c780de2343688f886cc3cab4dcc9b93b298ccfee3a | invalid character 'P' looking for beginning of value                                                                                                                                   | invalid character 'P' looking for beginning of value | 2023-02-11 20:25:00.005349 | 4969925
 0xacea6a | 0xd2dee3fe205c9397ae0773466acc03fdd5e25715bffe8bb626f10f6daaf9f9ac |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-12 01:21:49.188995 | 4971409
 0xacea6a | 0x6c533cd4ba18e262c4dcbe085aea723030a40e92e583c6d1cdcaa24015debf6b |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-12 12:40:01.68579  | 4974800
 0xacea6a | 0x613e4351485532c82aced4f24a1cec2314b9cac7a797ed24c0ed884ee0aa54ef | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-12 19:15:26.542964 | 4976778
 0xacea6a | 0x7ce2435e62747bb08e21e9844ba1b50e833f73cc9abab450c3cab3b19efe7e19 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:19.385086 | 4982652
 0xacea6a | 0x4470cdcb6d8c0f913d50ad92d306f208e2b7544baf2e1c0698618e7c0c559e5a | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:20.4855   | 4982652
 0xacea6a | 0x2a521a04dd68c33e80103c4e965cfcd12f7e2875b0b814763a417a9322349b8b | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:21.980664 | 4982652
 0xacea6a | 0xa7501f6a7d335e98899d582e12ce259121185009fdac000a3458681660963c43 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:23.082371 | 4982652
 0xacea6a | 0x7e344f823381baab75bbb234d15c0099b69df9728539dc05717fd4b74559c402 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:50:24.379136 | 4982652
 0xacea6a | 0x44b6ad5f969d7f893b781ed6a8948c95f9c2008de1b3c3034056c21d7b8cc9f0 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:51:57.790655 | 4982660
 0xacea6a | 0xafc6f47658c776be6e55fc47ee6bacdf142b198d171f9f750a7b8074b2ad4468 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 14:52:00.2824   | 4982660
 0xacea6a | 0xde670e9d8b720e17c3f2a7a04326592ad54374e69257f08cda6bb25c62542c1e | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 21:40:57.176902 | 4984705
 0xacea6a | 0xceeb6ff89cda18f3d96911f461c8d83a17022d8ab49ef344c9b90b2dc7b26b77 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-13 21:41:00.888206 | 4984705
 0xaa1488e | 0x30cb2583314cdae90a31d3ce3df7691e6da5a0b896f9c5d9b7ed5a0a783cbb45 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-13 22:28:01.554576 | 4984940
 0xacea6a | 0xfd44ae8580391f5f8767ca17b9f0e16120d7372ce32e4fdf460b456f7ebc4479 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-13 22:38:49.248783 | 4984994
 0xacea6a | 0x28e7ac0f299efe59f84a2d623bdd510ebcda17db1bfa2a976c4157c866987635 |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-13 23:56:37.854625 | 4985383
 0xacea6a | 0x96e6decffab3ac10a19edad2d747e64d77e5cf034c1d353dbbc067af6e65de55 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-14 02:00:12.947925 | 4986001
