received_at|inserted_at|value
2023-02-1620:39:00.974153|2023-02-1620:39:00.987667|521294766188000
2023-02-1620:39:01.265085|2023-02-1620:39:01.27748|349113029122418
2023-02-1620:39:01.62854|2023-02-1620:39:01.64007|4483919573432000
2023-02-1620:39:01.712154|2023-02-1620:39:01.724524|3722233336366418
2023-02-1620:39:02.234184|2023-02-1620:39:02.247024|4274516836366418
2023-02-1620:39:02.292049|2023-02-1620:39:02.305155|5185168073432000
2023-02-1620:39:02.718061|2023-02-1620:39:02.762976|5607058978468362
2023-02-1620:39:02.938452|2023-02-1620:39:02.996883|5902069617597544
2023-02-1620:39:03.216107|2023-02-1620:39:03.268994|7343066845529962
2023-02-1620:39:03.660126|2023-02-1620:39:03.686928|8253718082595544
2023-02-1620:39:03.726338|2023-02-1620:39:03.744944|7352763306032922
2023-02-1620:39:04.259465|2023-02-1620:39:04.458757|29406984050843978
2023-02-1620:39:04.337694|2023-02-1620:39:04.647557|30317635287909560
2023-02-1620:39:04.749347|2023-02-1620:39:04.938945|30420865550843978
2023-02-1620:39:05.235203|2023-02-1620:39:05.398825|31286363138989708
2023-02-1620:39:05.328949|2023-02-1620:39:05.596467|32197014376055290
2023-02-1620:39:05.748076|2023-02-1620:39:05.868933|32359640138989708
2023-02-1620:39:06.23627|2023-02-1620:39:06.381175|32487134138989708
2023-02-1620:39:06.24139|2023-02-1620:39:06.559708|33272593876055290
2023-02-1620:39:06.741008|2023-02-1620:39:06.913234|32502189737867124
2023-02-1620:39:07.235643|2023-02-1620:39:07.383074|32591613737867124
2023-02-1620:39:07.237712|2023-02-1620:39:07.520319|33504567474932706
2023-02-1620:39:07.735815|2023-02-1620:39:07.880955|34170397391489124
2023-02-1620:39:08.199449|2023-02-1620:39:08.486986|36926384628554706
2023-02-1620:39:08.254909|2023-02-1620:39:08.383844|36013430891489124
2023-02-1620:39:08.735963|2023-02-1620:39:08.852122|38128704545111124
2023-02-1620:39:09.135643|2023-02-1620:39:09.425171|39364767282176706
2023-02-1620:39:09.24097|2023-02-1620:39:09.397898|38497607045111124
2023-02-1620:39:09.737303|2023-02-1620:39:09.890586|38637407051554940
2023-02-1620:39:10.114465|2023-02-1620:39:10.258156|39198376652798506
2023-02-1620:39:10.116201|2023-02-1620:39:10.411978|39572139146848506
2023-02-1620:39:10.228148|2023-02-1620:39:10.384602|39278038652798506
2023-02-1620:39:10.237288|2023-02-1620:39:10.41036|39311755909782924
2023-02-1620:39:10.566332|2023-02-1620:39:10.730348|39345637652798506
2023-02-1620:39:10.742119|2023-02-1620:39:10.89794|39379354909782924
2023-02-1620:39:10.80071|2023-02-1620:39:10.944986|50679783371216416
2023-02-1620:39:11.042017|2023-02-1620:39:11.186486|50899075871216416
2023-02-1620:39:11.082575|2023-02-1620:39:11.282928|51597340865266416
2023-02-1620:39:11.170331|2023-02-1620:39:11.323154|67895116985453146
2023-02-1620:39:11.272077|2023-02-1620:39:11.49309|68030228603882220
2023-02-1620:39:11.295641|2023-02-1620:39:11.45158|67996511346897802
2023-02-1620:39:11.434345|2023-02-1620:39:11.579484|68480013846897802
2023-02-1620:39:11.74092|2023-02-1620:39:11.861964|68513731103882220
2023-02-1620:39:11.958695|2023-02-1620:39:12.311653|69426684840947802
2023-02-1620:39:12.245406|2023-02-1620:39:12.400227|68603155103882220
2023-02-1620:39:12.32149|2023-02-1620:39:12.468283|68569437846897802
2023-02-1620:39:12.703467|2023-02-1620:39:12.85491|68613346897131244
