read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
74|0|108819|344|2662|32|8782|120662|t
90|0|84907|2411|9344|28|8225|105018|t
121|0|110993|454|2384|10|7491|121361|t
69|0|84710|428|2570|15|7708|95494|t
87|0|110591|466|2736|29|8374|122240|t
77|0|84167|383|2543|15|9148|96345|t
57|0|110998|345|2541|15|7914|121849|t
81|0|85462|416|2980|11|7895|96786|t
744|0|84363|315|3334|48576|8308|144917|f
66|0|110882|427|2485|17|8147|121989|t
44|0|83720|330|3963|47664|8356|144055|f
61|0|84698|340|1997|43517|9540|140116|f
75|0|85236|442|2626|17|8599|96945|t
93|0|84286|2414|3177|45201|62592|197732|f
91|0|84724|414|2239|48386|8384|144169|f
81|0|85319|359|2932|42054|9566|140254|f
46|0|111641|398|2433|14|7761|122317|t
78|0|85618|415|3082|14|52768|141963|t
78|0|90510|518|3326|43476|7331|145202|f
72|0|84434|420|2484|40566|8366|136303|f
60|0|111240|445|2625|21|8172|122548|t
106|0|86068|320|2961|48808|8606|146801|f
79|0|95706|330|2591|19|10185|108848|t
63|0|85381|449|2824|45315|8820|142821|f
68|0|112719|440|2691|18|10864|126756|t
87|0|86740|374|2587|17|8968|98708|t
84|0|85432|385|2350|51885|10701|150772|f
59|0|91809|8965|164635|99167|10300|374945|f
61|0|85604|383|2623|42904|40428|171981|f
132|0|70750|433|2087|44899|9068|127257|f
86|0|110118|395|1971|5|9349|121888|t
69|0|86790|371|2251|13|8986|98437|t
74|0|113641|479|3145|11|13570|130879|t
89|0|11618|490|2488|18|5317|19989|t
89|0|10242|547|2614|16|5010|18452|t
41|0|5280|408|2417|15|5791|13929|t
47|0|42541|458|2330|17|6305|51683|t
64|0|17589|304|3325|28|7150|28417|t
62|0|32446|378|2878|12|7213|42950|t
65|0|17763|266|2429|12|6868|27362|t
63|0|78124|453|2466|14|7175|88257|t
53|0|12515|371|2321|8|7082|22317|t
64|0|65542|383|2498|17|6628|75089|t
91|0|4429|453|2758|14|7330|15005|t
56|0|45713|325|2260|11|6693|55024|t
50|0|115919|450|3208|10|8453|128097|t
41|0|82719|225|4159|21|7849|94997|t
101|0|124195|324|2572|15|7669|134798|t
84|0|87175|437|2483|16|8728|98867|t
49|0|123501|278|2736|15|8387|134946|t
57|0|81977|512|2921|27|9714|95224|t
63|0|165439|267|2554|19|8684|176984|t
54|0|19982|404|2549|23|8232|31218|t
43|0|47740|446|2498|16|7614|58357|t
124|0|8994|464|2616|17|7037|19150|t
45|0|128630|369|2537|28|8294|139878|t
44|0|46504|387|2694|28|7835|57471|t
53|0|39411|432|2276|13|8114|50268|t
61|0|47995|433|2391|13|7464|58317|t
56|0|3395|397|2647|23|8500|14991|t
63|0|40280|607|2438|15|7662|51025|t
51|0|120641|516|2542|18|9274|133021|t
58|0|145201|394|5876|2203|17448|171144|t
64|0|83767|303|12404|55574|13147|165219|f
78|0|84747|338|4494|55768|14828|160198|f
78|0|85369|313|2534|14|9975|98232|t
65|0|148693|324|2901|5|12091|164047|t
54|0|85501|437|2652|68509|14804|171927|f
49|0|84533|332|8508|55188|11582|160166|f
58|0|92917|374|2666|17|9772|105765|t
56|0|81406|558|2472|14|9279|93755|t
58|0|132417|439|2438|15|9273|144605|t
50|0|96002|659|2759|12|10390|109851|t
48|0|128768|416|2875|6|9808|141899|t
51|0|96020|428|2515|22|10443|109450|t
72|0|141538|366|2935|25|11690|156581|t
99|0|104623|330|2558|15|9735|117282|t
63|0|143333|305|2537|17|9865|156075|t
147|0|95783|400|2873|6|9762|108856|t
60|0|141571|387|2431|8|10124|154544|t
55|0|84297|434|2651|56803|9042|153251|f
61|0|105467|427|2277|14|10525|118734|t
53|0|83935|454|2889|58085|13651|159040|f
65|0|86097|295|2287|70174|10915|169788|f
72|0|86726|290|2347|69779|10724|169889|f
40|0|80641|440|2475|56060|11005|150640|f
47|0|122669|389|2490|15|11367|136953|t
53|0|150184|364|2223|8|31474|184277|t
50|0|167934|249|2524|15|9964|180704|t
65|0|154599|294|2516|16|9655|167099|t
66|0|139281|407|2542|16|18797|161088|t
985|0|88156|422|2575|98873|33998|224046|f
62|0|85410|280|4073|37485|8308|135576|f
12157|0|23950|369|2942|7|6606|33896|t
53|0|11663|478|2279|30|6533|21008|t
1242|0|8853|479|2968|14|6670|19031|t
162|0|11019|588|3208|34|8011|22930|t
75|0|9441|512|2571|24|14653|27237|t
51|0|13953|449|2499|8|7348|24290|t
55|0|81355|715|2523|22|7791|92451|t
65|0|9623|440|2881|11|6939|19921|t
47|0|81915|441|3372|15|6882|92652|t
65|0|80556|400|3253|11|8036|92296|t
75|0|81635|457|2548|30090|7858|122615|f
53|0|81227|429|2800|30701|6094|121277|f
