read_header_duration|decode_duration
2521|139045
4607|180232
2584|123207
2617|139253
2534|83881
15627|131348
2671|139595
2307|83098
2147|135935
2462|86214
15889|118478
2839|137534
2567|87582
3817|121507
3428|135554
4128|87354
4081|89679
7887|136027
2734|105636
2892|109329
2211|110949
3452|3964
2496|2984
11953|12550
2820|3864
2548|3089
3474|4242
18316|19323
2678|3770
2698|9605
2538|3159
3494|4897
2599|10695
2857|4001
2664|4980
2297|11202
2584|6294
2953|5998
3269|13329
2876|6952
2751|10016
2677|106774
2968|84396
2540|113019
2603|107712
16521|102590
2329|111773
2439|90877
2468|111725
2906|92487
3350|113509
2816|82110
2677|82910
3014|167108
2707|101719
2559|171741
2342|145975
2806|94975
2762|167437
2665|86893
2702|178385
4996|183341
3352|101494
2715|173308
2510|85030
5813|206743
6039|303745
6629|310112
3351|499309
91628|499067
100121|202610
4773|5186
2193|2755
2328|2835
2159|2616
2633|3155
2532|3088
2556|2880
2521|3002
2781|3121
2889|3807
2745|3635
4245|7127
2202|2531
4342|4841
2734|3180
2593|3147
2512|2922
4756|5420
37867|38327
2892|260610
3701|102864
7633|204411
291576|691252
98421|407100
13525|112551
2778|132241
2504|106262
2457|171595
2614|170647
3441|109798
2596|164600
2209|123149
5009|170156
2832|140067
2592|176297
2609|201442
7691|166327
4754|200712
4621|223631
13314|156419
4024|111627
7319|296800
107501|412396
2473|3545
2213|11291
2367|3366
2462|3145
2972|3741
2537|82196
2334|80899
2863|108306
2848|81119
2582|81211
2660|104326
2538|10685
2973|3742
3350|4216
2772|10440
2683|3802
3505|4883
3285|10742
2566|5335
2827|5441
2391|11638
2647|6555
2653|9982
2248|4783
3450|4491
2427|3313
2623|3683
2168|6654
2534|6432
14127|23876
2330|6536
2613|4194
2976|10845
3009|3881
2690|4691
2561|3584
13167|22772
2804|3777
2060|7077
13626|92319
3202|107674
2767|80362
3788|108191
3465|81205
2346|106701
2649|82357
2288|103692
4895|83234
31684|214869
2333|81881
2492|104882
4880|110895
4473|81718
2511|91423
2766|110502
2382|82391
2618|114568
3401|3843
2385|3411
12475|13266
2655|3398
2487|3167
2773|10707
2620|3304
4540|5979
2769|3722
2316|11126
2622|3538
2721|3890
4106|11172
2341|3029
2484|4386
2134|10320
2835|4609
2699|3931
2270|108938
3157|100524
2231|110361
3987|81287
2522|103936
2044|81792
3496|112927
2655|112229
2520|49942
4403|105381
3744|85116
3952|104243
2679|110213
4955|91060
2945|111121
3567|107880
13012|103170
2946|109155
2166|85179
2705|104450
4417|105100
2530|91588
2731|112446
2750|81159
2044|109850
2652|84712
4076|82202
2515|109691
2475|81946
2874|81453
2492|104007
2696|81989
2501|104690
4004|105576
2634|105221
2588|82297
2613|84692
2348|112946
2564|112206
2866|82315
2428|126402
2475|81915
2442|124525
2537|10878
2385|83116
41478|43008
5568|102058
41307|42275
2554|95357
35377|36020
4941|116649
3338|31727
3558|109490
2159|10773
2750|108192
2335|11255
2698|122549
2937|10261
4797|122254
2815|10785
2838|122989
2562|108182
3016|119122
2601|119228
14266|22037
3776|109556
2331|11872
2934|108908
2388|11883
2488|123797
4201|123396
12773|22968
2661|124392
3367|107800
2782|10736
3369|118944
2637|11759
2530|118048
3055|82802
2727|10133
2768|109721
2441|82743
2478|10351
2828|110234
4497|83180
2659|11469
2551|124824
2768|84180
2419|10330
2719|109242
2454|80076
2492|2889
2798|3658
2412|2636
2291|2581
2623|3055
2261|2435
2329|2622
2562|2934
2552|2964
2791|3217
2598|3423
2517|2982
3127|3587
2712|3078
2566|2908
4825|5381
4256|5480
3955|5108
2170|2627
2645|3213
2468|3441
3900|4408
2379|2778
2891|3938
13435|13870
2506|3179
2680|3182
2456|2946
2577|3200
12441|13068
2381|2924
2786|4985
91087|92000
2466|3166
8620|10618
37394|38522
4249|4964
2829|3460
2805|3886
3422|10203
4579|5973
4503|5419
2596|3755
2537|3341
4658|6121
16229|16790
2495|3586
2482|3183
2662|3267
2731|3432
2230|3023
13461|14129
2696|3626
2327|3054
2214|11070
3949|5172
2302|3043
14368|15082
2936|3492
2475|3087
3899|4485
4137|4822
4054|4521
3933|4752
3777|4740
100775|201659
3507|4028
3528|4060
4180|4857
3647|4800
4847|9910
201691|203762
5109|200747
3007|101400
15489|118661
2904|253283
2202|168519
4364|212497
2374|148005
102829|196185
3182|195360
12378|101337
3645|91153
3603|221677
2880|82924
2540|168135
5127|257516
2664|90733
21450|133424
2818|91737
2381|2825
2380|2735
2803|3232
2294|2718
2659|3558
3722|4774
2304|2846
2244|2522
2796|3155
3279|3775
2446|2725
2477|2884
2339|2767
2436|2871
2445|3106
5675|6786
2130|2595
2723|3189
2853|3266
2284|2575
2446|3221
2995|3397
3140|3948
4164|7730
2551|20941
15027|15514
3681|4252
17471|18574
2699|3566
2735|4900
2645|3107
2439|5580
