read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
44|105270|1982|415|2397|17|79541|189643|t
69|92472|2366|383|3619|102618|10640|212119|f
39|95164|2175|365|3001|10|75989|176725|t
97|86906|2343|271|3759|96363|68104|257823|f
136|98121|2655|1150|4974|105099|12993|225105|f
86|55127|1659|314|43310|108172|8940|217541|f
57|103612|2565|320|56286|18|11316|174142|t
91|87827|2277|304|2558|105677|66656|265319|f
72|124957|1745|438|2651|21|10631|140466|t
40|109101|2463|363|2863|10|45909|160731|t
45|85945|2339|342|2708|106195|11500|209054|f
62|133404|2321|380|2576|18|54248|192970|t
71|139744|1870|55650|6332|6|99118|302753|t
40|102471|2350|425|2429|106700|10898|225299|f
63|115030|2415|389|3401|12|19054|140326|t
40|85578|2269|404|2759|75144|14935|181114|f
51|87886|2875|477|2622|77731|87251|258866|f
621|1137|341|418|2319|33|5076|9351|t
12767|13241|330|352|2845|22|7749|24559|t
65|965|313|255|3572|18|7806|12948|t
65|1093|291|318|4676|20|7452|13883|t
60|141864|2045|227|2017|4|23970|170146|t
76|99204|2654|290|4024|28|43482|149710|t
61|88933|3813|333|4058|79695|68687|245561|f
88|144945|2894|422|16025|31|11698|176040|t
62|928|247|502|2494|12|4949|9159|t
53|593|279|466|2515|16|5577|9466|t
13401|13968|300|388|2857|6|10406|27946|t
50|14512|975|261|3208|10|6252|25239|t
59|7938|799|394|2524|16|5967|17659|t
12407|13145|375|793|2584|15|5197|22131|t
58|1114|274|367|2647|25|5847|10296|t
65|6232|706|387|2555|21|5667|15590|t
57|20973|645|382|2518|16|6678|31239|t
50|5510|668|417|2896|7|5927|15449|t
73|7284|677|348|3314|11|6060|17736|t
51|11490|562|360|2596|19|6098|21147|t
53|10208|568|435|2547|23|5078|18884|t
42|9201|530|483|2686|21|6163|19112|t
87|12053|754|379|4459|26|7853|25549|t
55|7004|548|469|2304|9|6573|16930|t
41|10751|765|347|2952|14|6399|21254|t
62|11059|1668|321|3448|18|6113|22650|t
57|10580|715|360|2589|31|5862|20163|t
59|9176|891|461|2724|7|6281|19563|t
57|80987|953|257|2803|14|7409|92442|t
69|108497|709|433|2778|17|7066|119632|t
128|83791|1093|391|3287|6|7034|95620|t
50|81277|855|390|2920|20|6790|92278|t
54|105040|823|385|2809|16|6124|115239|t
52|109115|681|398|2292|10|6684|119205|t
56|87536|1594|508|2366|13|8727|100766|t
53|109978|1084|402|3049|15|7623|122173|t
83|90440|1347|321|3166|211|9826|105334|t
57|100115|1069|766|3604|94313|8346|208243|f
71|2448|1390|462|3733|8|106466|114762|t
79|102895|1486|323|3164|16|8083|115987|t
53|106977|1022|411|2663|15|7331|118449|t
44|84973|1047|387|3455|12|6652|96551|t
