insertId,jsonPayload.blockHash,jsonPayload.builderEntry,jsonPayload.builderPubkey,jsonPayload.contentLength,jsonPayload.duration,jsonPayload.error,"jsonPayload.""gzip-req""",jsonPayload.level,jsonPayload.method,jsonPayload.mevBoostV,jsonPayload.msg,jsonPayload.numWaiting,jsonPayload.optBlocksInFlight,jsonPayload.parentHash,jsonPayload.profile,jsonPayload.proposerPubkey,jsonPayload.pubkey,jsonPayload.service,jsonPayload.slot,jsonPayload.tx,jsonPayload.ua,jsonPayload.value,jsonPayload.version,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/project""",logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp
hroaluk3v0kd4gfg,0x7a834e5d922b73103f4d601eccb5b88c645ad45f17b45b7a9ffea9662ef46902,,0x80c7311597316f871363f8395b6a8d056071d90d8eb27defd14759e8522786061b13728623452740ba05055f5ba9d3d5,341747,0.032269877,simulation failed: unknown ancestor,,error,submitNewBlock,,block validation failed,4,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,147,,13096435178527355,,gke-midori-olympic-pool-51363abb-d2dh,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.074395879Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-l79gt,ultra-sound-relay,k8s_container,ERROR,2023-03-28T08:11:57Z
hm5125crgs5a5px4,0xf9f2c40ca38e0fbf993b3e04a5a2c3663ab4172db2c73fcca6c0bb7e4aa2e77c,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,python-requests/2.27.1,86431256615655181,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:01.522908358Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
hkfsg446kzj63mvi,0x700d875bd13b4e05eb20adee1355b625e6f168afe1f2452d7924b6d3d85e7839,,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,347972,,,,info,submitNewBlock,,received block from builder,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,"359918,1665,52,12479,374114",0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,150,,13911740078527355,,gke-midori-olympic-pool-51363abb-8l9o,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.022070559Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-tfd4b,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
hiioprgvcnwtbiq6,0xf512e869423b3e624b349d675b2671153c3939d2e3bd79de8320d78a8bbedd96,,0xb194b2b8ec91a71c18f8483825234679299d146495a08db3bf3fb955e1d85a5fca77e88de93a74f4e32320fc922d3027,366843,0.115920428,simulation failed: unknown ancestor,,error,submitNewBlock,,block validation failed,6,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,153,,86875718703755218,,gke-midori-olympic-pool-51363abb-8l9o,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.022070559Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-tfd4b,ultra-sound-relay,k8s_container,ERROR,2023-03-28T08:11:57Z
hi3zhl4aa7lbw7hi,0x75a521c5606972e41b6824b0dec664c1842ac4fcc5b149b8318b1056fe1ad494,,0x978a35c39c41aadbe35ea29712bccffb117cc6ebcad4d86ea463d712af1dc80131d0c650dc29ba29ef27c881f43bd587,173083,0.09847445,simulation failed: unknown ancestor,true,error,submitNewBlock,,block validation failed,2,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,153,,72381720438430165,,gke-midori-olympic-pool-51363abb-d2dh,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.074395879Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-l79gt,ultra-sound-relay,k8s_container,ERROR,2023-03-28T08:11:57Z
hhyqejz3t5fbafd9,0xf9f2c40ca38e0fbf993b3e04a5a2c3663ab4172db2c73fcca6c0bb7e4aa2e77c,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,86431256615655181,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:01.522908358Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
hd03f49yk7eug7sp,0x6e1d8220b7a67030888126f57fb0e47c4b95482096311b1788f2421bf1279f92,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,86496271515655181,,gke-midori-olympic-pool-51363abb-8l9o,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.011798768Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-7tjwc,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
gb05a6kfpremzdkx,0x5083eff34d8d7ffad51db07edaf97815d1977c10cf5b73534326ae0d25407f31,,0x987ff80fcf6c5ee530f4a4352884cb89fc5f57ab287e58dd44d641f3bbe4cc40633d6ba0bbecc9c81b1d5be40a2abb99,85105,,,,info,submitNewBlock,,received block from builder,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,"82797,39228,2,19660,141688",0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,131,,65591099623191620,,gke-midori-olympic-pool-51363abb-8l9o,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.022070559Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-tfd4b,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
fvfeb7rst40d7bfu,0x7706f7b534b100bf68862f1f1192cbcfd579a09efa0e8e58b077cce592b20385,,0xa0d0dbdf7b5eda08c921dee5da7c78c34c9685db3e39e81eb91da94af29eaa50f1468813c86503bf41b4b51bf772800e,344903,0.041478655,simulation failed: unknown ancestor,,error,submitNewBlock,,block validation failed,3,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,149,,12884386186878691,,gke-midori-olympic-pool-51363abb-8l9o,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.022070559Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-tfd4b,ultra-sound-relay,k8s_container,ERROR,2023-03-28T08:11:57Z
fsjomewvxg0a1apz,0xdcbf8b2f51dca9586a1d834f41eb7d4b3975b49ff094e08499cdcff8ed5ca68b,,0x83d3495a2951065cf19c4d282afca0a635a39f6504bd76282ed0138fe28680ec60fa3fd149e6d27a94a7d90e7b1fb640,171792,0.20423947,,true,info,submitNewBlock,,block validation successful,2,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,150,,70729365299526025,,gke-midori-olympic-pool-51363abb-d2dh,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.074395879Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-l79gt,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
fq54s5cr7nwuwa8u,0x70505cd61caa10b228888b3807523337e30fc9f2c414f7e699c5895ed3fba502,,0x91afe2631915f3fbd83f1d75e13ae8597b593441344bb55bf542b9bac31f662d1c820cafe4cde17291f115bb68a9945a,350951,0.024309849,simulation failed: unknown ancestor,,error,submitNewBlock,,block validation failed,8,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,155,,65581140811291657,,gke-midori-olympic-pool-51363abb-2o8m,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:01.526583314Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-qg8hk,ultra-sound-relay,k8s_container,ERROR,2023-03-28T08:11:57Z
ffft28517oslkhiq,0xf2a4d3f418bf94fde0a453ce087e33ecebd5e81b27b99a1c3abbaa6b39823377,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,72304693548430165,,gke-midori-olympic-pool-51363abb-8l9o,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.011798768Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-7tjwc,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
f9vujljj8sf7xxyi,0x6a119e6631d92086e07c2f49aeb54c55b245572cac34a6443219dacc2bcb00fc,,0xb5a688d26d7858b38c44f44568d68fb94f112fc834cd225d32dc52f0277c2007babc861f6f157a6fc6c1dc25bf409046,340762,,,,info,submitNewBlock,,received block from builder,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,"132408,1862,9,9393,143674",0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,144,,12734147896878691,,gke-midori-olympic-pool-51363abb-2o8m,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:01.526583314Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-qg8hk,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
f8z1r0s3s8h8ip7y,0xb01e3032bffea4de2c2bd4ccc8518d311850716643ca1bd6c70ec09b19f3cc91,,0x978a35c39c41aadbe35ea29712bccffb117cc6ebcad4d86ea463d712af1dc80131d0c650dc29ba29ef27c881f43bd587,172251,,,true,info,submitNewBlock,,simulating optimistic block with hash: 0xb01e3032bffea4de2c2bd4ccc8518d311850716643ca1bd6c70ec09b19f3cc91,,9223372036854776000,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,150,,72337705538430165,,gke-midori-olympic-pool-51363abb-8l9o,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:11:58.022070559Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-tfd4b,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
f3eqvurm24rbbv3q,0xdcbf8b2f51dca9586a1d834f41eb7d4b3975b49ff094e08499cdcff8ed5ca68b,,0x83d3495a2951065cf19c4d282afca0a635a39f6504bd76282ed0138fe28680ec60fa3fd149e6d27a94a7d90e7b1fb640,171792,,,true,info,submitNewBlock,,simulating optimistic block with hash: 0xdcbf8b2f51dca9586a1d834f41eb7d4b3975b49ff094e08499cdcff8ed5ca68b,,9223372036854776000,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,,relay/api,6097258,150,,70729365299526025,,gke-midori-olympic-pool-51363abb-2o8m,builder-api,855d777575,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:01.526583314Z,,midori,builder-api,europe-west1-b,default,builder-api-855d777575-qg8hk,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:11:57Z
